State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,206.0,JOANN A. ALEXIE MEMORIAL SCHOOL,20000100206,103.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,207.0,GLADYS JUNG ELEMENTARY,20000100207,343.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,208.0,BETHEL REGIONAL HIGH SCHOOL,20000100208,476.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,209.0,CHAPUTNGUAK SCHOOL,20000100209,175.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,210.0,CHIEF PAUL MEMORIAL SCHOOL,20000100210,208.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,211.0,AYAGINA'AR ELITNAURVIK,20000100211,141.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,212.0,KWIGILLINGOK SCHOOL,20000100212,109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,213.0,NELSON ISLAND AREA SCHOOL,20000100213,215.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,214.0,ANNA TOBELUK MEMORIAL SCHOOL,20000100214,172.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,215.0,ARVIQ SCHOOL,20000100215,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,318.0,BETHEL ALTERNATIVE BOARDING SCHOOL,20000100318,32.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,329.0,AYAPRUN ELITNAURVIK,20000100329,203.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,389.0,PAUL T. ALBERT MEMORIAL SCHOOL,20000100389,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,391.0,AKULA ELITNAURVIK SCHOOL,20000100391,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,392.0,EEK SCHOOL,20000100392,109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,406.0,LEWIS ANGAPAK MEMORIAL SCHOOL,20000100406,145.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,408.0,NUNIWARMIUT SCHOOL,20000100408,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,409.0,WILLIAM MILLER MEMORIAL SCHOOL,20000100409,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,436.0,MIKELNGUUT ELITNAURVIAT,20000100436,309.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,438.0,KET'ACIK/AAPALLUK MEMORIAL SCHOOL,20000100438,229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,439.0,Z. JOHN WILLIAMS MEMORIAL SCHOOL,20000100439,147.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,440.0,AYAPRUN SCHOOL,20000100440,136.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,441.0,KUINERRARMIUT ELITNAURVIAT,20000100441,205.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,474.0,NIGHTMUTE SCHOOL,20000100474,96.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,475.0,QUGCUUN MEMORIAL SCHOOL,20000100475,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,476.0,ROCKY MOUNTAIN SCHOOL,20000100476,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,619.0,AKIUK MEMORIAL SCHOOL,20000100619,84.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200001,LOWER KUSKOKWIM SCHOOL DISTRICT,620.0,BETHEL YOUTH FACILITY,20000100620,13.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
AK,200003,LOWER YUKON SCHOOL DISTRICT,216.0,ALAKANUK SCHOOL,20000300216,213.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,217.0,EMMONAK SCHOOL,20000300217,192.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,218.0,MARSHALL SCHOOL,20000300218,118.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,219.0,HOOPER BAY SCHOOL,20000300219,376.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,220.0,IGNATIUS BEANS SCHOOL,20000300220,229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,221.0,PITKAS POINT SCHOOL,20000300221,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,222.0,RUSSIAN MISSION SCHOOL,20000300222,84.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,410.0,PILOT STATION SCHOOL,20000300410,179.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AK,200003,LOWER YUKON SCHOOL DISTRICT,411.0,KOTLIK SCHOOL,20000300411,172.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
