State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
AL,100002,ALABAMA YOUTH SERVICES,1705.0,WALLACE SCH - MT MEIGS CAMPUS,10000201705,382.0,Z,0.0,0.0,2.0,0.0,0.0,0.0,4.0,21.0,28.0,t,
AL,100002,ALABAMA YOUTH SERVICES,1706.0,MCNEEL SCH - VACCA CAMPUS,10000201706,185.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
AL,100002,ALABAMA YOUTH SERVICES,99995.0,AUTAUGA CAMPUS,10000299995,470.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
AL,100002,ALABAMA YOUTH SERVICES,99996.0,WALLACE ANNEX III,10000299996,61.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
AL,100005,ALBERTVILLE CITY,870.0,ALBERTVILLE MIDDLE SCHOOL,10000500870,611.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100005,ALBERTVILLE CITY,871.0,ALBERTVILLE HIGH SCH,10000500871,1027.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100005,ALBERTVILLE CITY,879.0,EVANS ELEM SCH,10000500879,600.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100005,ALBERTVILLE CITY,889.0,ALBERTVILLE ELEM SCH,10000500889,638.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100005,ALBERTVILLE CITY,1616.0,BIG SPRING LAKE KINDERG SCH,10000501616,430.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100005,ALBERTVILLE CITY,2150.0,ALBERTVILLE PRIMARY SCH,10000502150,843.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,193.0,KATE DUNCAN SMITH DAR MIDDLE,10000600193,512.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,872.0,ASBURY HIGH SCH,10000600872,431.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,876.0,CLAYSVILLE JR HIGH SCH,10000600876,137.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,877.0,DOUGLAS ELEM SCH,10000600877,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,878.0,DOUGLAS HIGH SCH,10000600878,524.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,f,
AL,100006,MARSHALL COUNTY,880.0,GRASSY ELEM SCH,10000600880,350.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,883.0,KATE D SMITH DAR HIGH SCH,10000600883,467.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,887.0,UNION GROVE ELEM SCH,10000600887,260.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,1413.0,ROBERT D SLOMAN PRIMARY,10000601413,528.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,1434.0,BRINDLEE MT MIDDLE SCH,10000601434,332.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,1585.0,BRINDLEE MT HIGH SCH,10000601585,378.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,1685.0,KATE D SMITH DAR ELEM SCH,10000601685,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,1812.0,DOUGLAS MIDDLE SCH,10000601812,474.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100006,MARSHALL COUNTY,99999.0,ASBURY ELEMENTARY SCHOOL,10000699999,591.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,91.0,TRACE CROSSINGS ELEM SCH,10000700091,590.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,248.0,GREYSTONE ELEM SCH,10000700248,595.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,251.0,HOOVER HIGH SCH,10000700251,2585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,337.0,BERRY MIDDLE SCH,10000700337,1208.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,342.0,SOUTH SHADES CREST ELEM SCH,10000700342,574.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1422.0,ROBERT F BUMPUS MIDDLE SCH,10000701422,740.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1456.0,SPAIN PARK HIGH SCH,10000701456,1537.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1483.0,DEER VALLEY ELEM SCH,10000701483,780.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1738.0,BLUFF PK ELEM SCH,10000701738,655.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1739.0,GREEN VALLEY ELEM SCH,10000701739,485.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1740.0,GWIN ELEM SCH,10000701740,557.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1741.0,IRA F SIMMONS MIDDLE SCH,10000701741,860.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1742.0,ROCKY RIDGE ELEM SCH,10000701742,585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,1743.0,SHADES MT ELEM SCH,10000701743,290.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,2091.0,RIVERCHASE ELEM SCH,10000702091,626.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100007,HOOVER CITY,99999.0,BROCK'S GAP INTERMEDIATE SCHOOL,10000799999,772.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,303.0,HORIZON ELEM SCH,10000800303,571.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,495.0,DISCOVERY MIDDLE SCH,10000800495,723.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,831.0,BOB JONES HIGH SCH,10000800831,2221.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,839.0,MADISON ELEM SCH,10000800839,536.0,,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,851.0,WEST MADISON ELEM SCH,10000800851,360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,1423.0,HERITAGE ELEM SCH,10000801423,791.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,1485.0,RAINBOW ELEM SCH,10000801485,692.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,1798.0,LIBERTY MIDDLE SCH,10000801798,1226.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,2097.0,COLUMBIA ELEM SCH,10000802097,840.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100008,MADISON CITY,2133.0,MILL CREEK ELEMENTARY SCHOOL,10000802133,855.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100009,AL INST DEAF AND BLIND,1403.0,ALABAMA SCHOOL FOR DEAF,10000901403,170.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100009,AL INST DEAF AND BLIND,1404.0,ALABAMA SCHOOL FOR BLIND,10000901404,118.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100009,AL INST DEAF AND BLIND,1405.0,HELEN KELLER SCHOOL,10000901405,92.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100011,LEEDS CITY,2094.0,LEEDS ELEM SCH,10001102094,730.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100011,LEEDS CITY,2095.0,LEEDS MIDDLE SCH,10001102095,585.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100011,LEEDS CITY,2096.0,LEEDS HIGH SCH,10001102096,396.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AL,100012,BOAZ CITY,123.0,BOAZ MIDDLE SCH,10001200123,491.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
