State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
AR,500001,DEWITT SCHOOL DISTRICT,216.0,DEWITT HIGH SCHOOL,50000100216,397.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500001,DEWITT SCHOOL DISTRICT,217.0,DEWITT MIDDLE SCHOOL,50000100217,337.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500001,DEWITT SCHOOL DISTRICT,218.0,DEWITT ELEMENTARY SCHOOL,50000100218,481.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500001,DEWITT SCHOOL DISTRICT,391.0,GILLETT ELEMENTARY SCHOOL,50000100391,94.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500001,DEWITT SCHOOL DISTRICT,99998.0,ARKANSAS COUNTY JUVENILE DETENTION,50000199998,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99986.0,O.U.R. MTN. HOME PRESCHOOL,50000599986,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99987.0,O.U.R. CHILDREN'S CENTER,50000599987,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99988.0,YELLVILLE ABC,50000599988,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99989.0,MT. HOME ABC,50000599989,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99990.0,MT. JUDEA ABC,50000599990,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99991.0,MONTESSORI ABC,50000599991,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99992.0,LITTLE RED SCHOOL HOUSE,50000599992,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99993.0,KINGSTON ABC,50000599993,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99994.0,JASPER ABC,50000599994,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99995.0,DEER ABC,50000599995,21.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AR,500005,OZARKS UNLITD. RESOURCE COOP,99996.0,COTTER ABC,50000599996,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
