State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
AZ,400001,CAVE CREEK UNIFIED DISTRICT,120.0,BLACK MOUNTAIN ELEMENTARY SCHOOL,40000100120,508.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,616.0,DESERT SUN ACADEMY,40000100616,584.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,1204.0,CACTUS SHADOWS HIGH SCHOOL,40000101204,1743.0,,4.0,4.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,1871.0,SONORAN TRAILS MIDDLE SCHOOL,40000101871,806.0,,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,1872.0,DESERT WILLOW ELEMENTARY SCHOOL,40000101872,739.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,2344.0,LONE MOUNTAIN ELEMENTARY SCHOOL,40000102344,640.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400001,CAVE CREEK UNIFIED DISTRICT,2484.0,HORSESHOE TRAILS ELEMENTARY SCHOOL,40000102484,732.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400003,CHINO VALLEY UNIFIED DISTRICT,147.0,DEL RIO ELEMENTARY SCHOOL,40000300147,580.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
AZ,400003,CHINO VALLEY UNIFIED DISTRICT,1198.0,HERITAGE MIDDLE SCHOOL,40000301198,576.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400003,CHINO VALLEY UNIFIED DISTRICT,1458.0,CHINO VALLEY HIGH SCHOOL,40000301458,771.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400003,CHINO VALLEY UNIFIED DISTRICT,1969.0,TERRITORIAL ELEMENTARY SCHOOL,40000301969,425.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400003,CHINO VALLEY UNIFIED DISTRICT,3020.0,COUGAR LANE PRESCHOOL,40000303020,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400004,CLARKDALE-JEROME ELEMENTARY DISTRICT,912.0,CLARKDALE-JEROME ELEMENTARY SCHOOL,40000400912,483.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400005,SALOME CONSOLIDATED ELEMENTARY DISTRICT,629.0,SALOME ELEMENTARY SCHOOL,40000500629,132.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400016,CENTER FOR ACADEMIC SUCCESS  INC.,476.0,CENTER FOR ACADEMIC SUCCESS  THE #1,40001600476,121.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400016,CENTER FOR ACADEMIC SUCCESS  INC.,481.0,CENTER FOR ACADEMIC SUCCESS  THE #2,40001600481,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400016,CENTER FOR ACADEMIC SUCCESS  INC.,1942.0,CENTER FOR ACADEMIC SUCCESS  THE #3,40001601942,287.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400016,CENTER FOR ACADEMIC SUCCESS  INC.,2442.0,CENTER FOR ACADEMIC SUCCESS #4,40001602442,147.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400016,CENTER FOR ACADEMIC SUCCESS  INC.,2443.0,CENTER FOR ACADEMIC SUCCESS #5,40001602443,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400018,PINE FOREST EDUCATION ASSOCIATION  INC.,496.0,PINE FOREST SCHOOL,40001800496,236.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
AZ,400019,FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,498.0,FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,40001900498,290.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
