State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
CA,400324,ARIZONA SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES  IN,2160.0,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,40032402160,287.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,400324,ARIZONA SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES  IN,2265.0,SCHOOL FOR INTEGRATED ACADEMICS AND TECHNOLOGIES,40032402265,149.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600001,ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,3278.0,VASQUEZ HIGH,60000103278,512.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600001,ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,6294.0,AGUA DULCE ELEMENTARY,60000106294,215.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600001,ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,7534.0,MEADOWLARK ELEMENTARY,60000107534,392.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600001,ACTON-AGUA DULCE UNIFIED SCHOOL DISTRICT,9444.0,HIGH DESERT,60000109444,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600002,CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),10346.0,CALIFORNIA SCH FOR THE BLIND,60000210346,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600003,CA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),10347.0,CALIFORNIA SCH FOR THE DEAF-FREMONT,60000310347,445.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600006,ROSS VALLEY ELEMENTARY,8773.0,MANOR ELEMENTARY,60000608773,417.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600006,ROSS VALLEY ELEMENTARY,8774.0,WHITE HILL MIDDLE,60000608774,609.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600006,ROSS VALLEY ELEMENTARY,8775.0,BROOKSIDE SCHOOL UPPER CAMPUS,60000608775,434.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CA,600006,ROSS VALLEY ELEMENTARY,8776.0,WADE THOMAS ELEMENTARY,60000608776,410.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
