State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
CO,800001,CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,214.0,CHEYENNE WELLS ELEMENTARY SCHOOL,80000100214,113.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800001,CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,215.0,CHEYENNE WELLS HIGH SCHOOL,80000100215,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800001,CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,1428.0,CHEYENNE WELLS MIDDLE SCHOOL,80000101428,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800004,EXPEDITIONARY BOCES 9130,709.0,EXPEDITIONARY LEARNING SCHOOL,80000400709,361.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800016,YUMA 1 SCHOOL DISTRICT,1745.0,LITTLE INDIANS PRESCHOOL,80001601745,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800016,YUMA 1 SCHOOL DISTRICT,1819.0,YUMA MIDDLE SCHOOL,80001601819,239.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
CO,800016,YUMA 1 SCHOOL DISTRICT,1820.0,KENNETH P MORRIS ELEMENTARY SCHOOL,80001601820,305.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800016,YUMA 1 SCHOOL DISTRICT,1821.0,YUMA HIGH SCHOOL,80001601821,235.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800017,WRAY RD-2 SCHOOL DISTRICT,1816.0,WRAY ELEMENTARY SCHOOL,80001701816,329.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800017,WRAY RD-2 SCHOOL DISTRICT,1817.0,BUCHANAN MIDDLE SCHOOL,80001701817,202.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800017,WRAY RD-2 SCHOOL DISTRICT,1818.0,WRAY HIGH SCHOOL,80001701818,211.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800018,IDALIA RJ-3 SCHOOL DISTRICT,1741.0,IDALIA ELEMENTARY SCHOOL,80001801741,133.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800018,IDALIA RJ-3 SCHOOL DISTRICT,1742.0,IDALIA JUNIOR-SENIOR HIGH SCHOOL,80001801742,54.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800019,LIBERTY J-4 SCHOOL DISTRICT,1743.0,LIBERTY ELEMENTARY SCHOOL,80001901743,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800019,LIBERTY J-4 SCHOOL DISTRICT,1744.0,LIBERTY JUNIOR-SENIOR HIGH SCHOOL,80001901744,32.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800020,CHARTER SCHOOL INSTITUTE,1912.0,COLORADO SPRINGS CHARTER ACADEMY,80002001912,464.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CO,800020,CHARTER SCHOOL INSTITUTE,1913.0,ROSS MONTESSORI SCHOOL,80002001913,219.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
