State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1136.0,A. I. PRINCE TECHNICAL HIGH SCHOOL,90000201136,750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1137.0,BULLARD-HAVENS TECHNICAL HIGH SCHOOL,90000201137,869.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1138.0,E. C. GOODWIN TECHNICAL HIGH SCHOOL,90000201138,606.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1139.0,ELLA T. GRASSO SOUTHEASTERN TECHNICAL HIGH SCHOOL,90000201139,566.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1140.0,ELI WHITNEY TECHNICAL HIGH SCHOOL,90000201140,512.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1141.0,EMMETT O'BRIEN TECHNICAL HIGH SCHOOL,90000201141,544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1142.0,H. C. WILCOX TECHNICAL HIGH SCHOOL,90000201142,768.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1143.0,H. H. ELLIS TECHNICAL HIGH SCHOOL,90000201143,537.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1144.0,HENRY ABBOTT TECHNICAL HIGH SCHOOL,90000201144,637.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1145.0,HOWELL CHENEY TECHNICAL HIGH SCHOOL,90000201145,666.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1147.0,NORWICH TECHNICAL HIGH SCHOOL,90000201147,662.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1148.0,OLIVER WOLCOTT TECHNICAL HIGH SCHOOL,90000201148,660.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1149.0,PLATT TECHNICAL HIGH SCHOOL,90000201149,890.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1150.0,VINAL TECHNICAL HIGH SCHOOL,90000201150,594.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1151.0,W. F. KAYNOR TECHNICAL HIGH SCHOOL,90000201151,752.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,1152.0,WINDHAM TECHNICAL HIGH SCHOOL,90000201152,565.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900002,CONNECTICUT TECHNICAL HIGH SCHOOL SYSTEM,99999.0,BRISTOL TECHNICAL EDUCATION CENTER,90000299999,102.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900003,UNIFIED SCHOOL DISTRICT #1,404.0,MANSON YOUTH INSTITUTION,90000300404,234.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
CT,900003,UNIFIED SCHOOL DISTRICT #1,849.0,YORK CORRECTIONAL INSTITUTION,90000300849,21.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
CT,900004,UNIFIED SCHOOL DISTRICT #2,475.0,CHILDREN'S PLACE,90000400475,41.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900004,UNIFIED SCHOOL DISTRICT #2,479.0,RIVERVIEW HOSPITAL,90000400479,58.0,,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
CT,900004,UNIFIED SCHOOL DISTRICT #2,1360.0,CONNECTICUT JUVENILE TRAINING SCHOOL,90000401360,101.0,Z,0.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,t,
CT,900005,REGIONAL SCHOOL DISTRICT 19,1215.0,E. O. SMITH HIGH SCHOOL,90000501215,1225.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900007,JUMOKE ACADEMY DISTRICT,747.0,JUMOKE ACADEMY,90000700747,489.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900009,ODYSSEY COMMUNITY SCHOOL DIST,774.0,ODYSSEY COMMUNITY SCHOOL,90000900774,314.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900010,INTEGRATED DAY CHARTER SCHOOL,775.0,INTEGRATED DAY CHARTER SCHOOL,90001000775,332.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
CT,900011,INTRDIST SCH FOR ARTS AND COM,797.0,INTERDISTRICT SCHOOL FOR ARTS AND COMMUNICATION,90001100797,193.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
