State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
DE,1000004,CHARTER SCHOOL OF WILMINGTON,12.0,CHARTER SCHOOL OF WILMINGTON,100000400012,967.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000005,POSITIVE OUTCOMES CHARTER SCHOOL,13.0,POSITIVE OUTCOMES CHARTER SCHOOL,100000500013,131.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000006,EAST SIDE CHARTER SCHOOL,17.0,EAST SIDE CHARTER SCHOOL,100000600017,401.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000007,CAMPUS COMMUNITY CHARTER SCHOOL,99999.0,CAMPUS COMMUNITY SCHOOL,100000799999,586.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000010,EDISON (THOMAS A.) CHARTER SCHOOL,79.0,EDISON (THOMAS A.) CHARTER SCHOOL,100001000079,732.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000011,SUSSEX ACADEMY OF ARTS & SCIENCES,91.0,SUSSEX ACADEMY OF ARTS & SCIENCES,100001100091,335.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000014,KUUMBA ACADEMY CHARTER SCHOOL,106.0,KUUMBA ACADEMY CHARTER SCHOOL,100001400106,252.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000015,NEWARK CHARTER SCHOOL,112.0,NEWARK CHARTER SCHOOL,100001500112,1342.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000016,DELAWARE MILITARY ACADEMY,143.0,DELAWARE MILITARY ACADEMY,100001600143,561.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
DE,1000017,ACADEMY OF DOVER CHARTER SCHOOL,144.0,ACADEMY OF DOVER CHARTER SCHOOL,100001700144,288.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
