State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
FL,1200002,FL VIRTUAL,99001.0,FLORIDA VIRTUAL SCHOOL FULL TIME K-8,120000299001,1757.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200002,FL VIRTUAL,99002.0,FLORIDA VIRTUAL SCHOOL FULL TIME 9-12,120000299002,933.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,1.0,CHARLES W. DUVAL ELEM SCHOOL,120003000001,292.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2.0,J. J. FINLEY ELEMENTARY SCHOOL,120003000002,464.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3.0,STEPHEN FOSTER ELEMENTARY SCHL,120003000003,456.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,4.0,A.QUINN JONES/EXCEP.STUD.CTR.,120003000004,63.0,,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,5.0,LAKE FOREST ELEMENTARY SCHOOL,120003000005,354.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,6.0,SIDNEY LANIER CENTER,120003000006,107.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,7.0,LITTLEWOOD ELEMENTARY SCHOOL,120003000007,709.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,8.0,W. A. METCALFE ELEMENTARY SCHOOL,120003000008,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,9.0,JOSEPH WILLIAMS ELEM. SCHOOL,120003000009,492.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,10.0,ABRAHAM LINCOLN MIDDLE SCHOOL,120003000010,683.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,11.0,HOWARD W. BISHOP MIDDLE SCHOOL,120003000011,676.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,12.0,WESTWOOD MIDDLE SCHOOL,120003000012,1028.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,13.0,GAINESVILLE HIGH SCHOOL,120003000013,1835.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,14.0,ALACHUA ELEMENTARY SCHOOL,120003000014,435.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,15.0,ARCHER ELEMENTARY,120003000015,460.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,16.0,HAWTHORNE MIDDLE/HIGH SCHOOL,120003000016,312.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,17.0,C. W. NORTON ELEMENTARY SCHOOL,120003000017,616.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,18.0,A. L. MEBANE MIDDLE SCHOOL,120003000018,422.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,19.0,NEWBERRY HIGH SCHOOL,120003000019,595.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,20.0,SANTA FE HIGH SCHOOL,120003000020,1105.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,21.0,CHESTER SHELL ELEMENTARY SCHL,120003000021,204.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,22.0,WALDO COMMUNITY SCHOOL,120003000022,217.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,23.0,MYRA TERWILLIGER ELEM. SCHOOL,120003000023,688.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,24.0,IDYLWILD ELEMENTARY SCHOOL,120003000024,593.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,25.0,GLEN SPRINGS ELEMENTARY SCHOOL,120003000025,436.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,26.0,MARJORIE KINNAN RAWLINGS ELEM,120003000026,368.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,27.0,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH,120003000027,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,28.0,EASTSIDE HIGH SCHOOL,120003000028,1321.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,29.0,F. W. BUCHHOLZ HIGH SCHOOL,120003000029,2080.0,,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,32.0,FORT CLARKE MIDDLE SCHOOL,120003000032,881.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,33.0,NEWBERRY ELEMENTARY SCHOOL,120003000033,512.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,34.0,W. W. IRBY ELEMENTARY SCHOOL,120003000034,519.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,619.0,OAK VIEW MIDDLE SCHOOL,120003000619,638.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2107.0,N. FLORIDA JUVENILE DETENTION,120003002107,37.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
FL,1200030,ALACHUA,2465.0,KIMBALL WILES ELEM. SCHOOL,120003002465,752.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2466.0,WILLIAM S. TALBOT ELEM SCHOOL,120003002466,713.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2588.0,HIDDEN OAK ELEMENTARY SCHOOL,120003002588,851.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2913.0,HORIZON CTR. ALTERNATIVE SCHL,120003002913,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,2975.0,FEARNSIDE FAMILY SERVICES CENTER,120003002975,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3022.0,KANAPAHA MIDDLE SCHOOL,120003003022,921.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3144.0,THE ONE ROOM SCHOOL HOUSE PROJECT,120003003144,145.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3145.0,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",120003003145,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3281.0,NORTH AMERICAN FAMILY INSTITUTE ALACHUA ACA,120003003281,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3282.0,GAINESVILLE WILDERNESS INSTITUTE,120003003282,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3283.0,PACE,120003003283,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3285.0,CARING & SHARING LEARNING SCH,120003003285,156.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3530.0,LAWTON M. CHILES ELEM. SCHOOL,120003003530,731.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3532.0,EINSTEIN MONTESSORI SCHOOL,120003003532,106.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3533.0,EXPRESSIONS LEARNING ARTS ACAD,120003003533,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3534.0,"ALACHUA LEARNING CENTER, INC. ELEMENTARY",120003003534,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3674.0,CHARACTER COUNTS CENTER,120003003674,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3811.0,"MICANOPY MIDDLE SCHOOL, INC.",120003003811,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3981.0,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,120003003981,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3987.0,PRAIRIE VIEW ACADEMY,120003003987,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,3989.0,HIGH SPRINGS COMMUNITY SCHOOL,120003003989,852.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
FL,1200030,ALACHUA,4046.0,HOGGETOWNE MIDDLE SCHOOL,120003004046,110.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
