State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
GA,1300001,TROUP COUNTY,593.0,GARDNER-NEWMAN MIDDLE SCHOOL,130000100593,1005.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,596.0,HOLLIS HAND ELEMENTARY SCHOOL,130000100596,531.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,608.0,LAGRANGE HIGH SCHOOL,130000100608,1353.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,609.0,UNITY ELEMENTARY SCHOOL,130000100609,468.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,643.0,BERTA WEATHERSBEE ELEMENTARY SCHOOL,130000100643,364.0,,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1706.0,HILLCREST ELEMENTARY SCHOOL,130000101706,423.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1709.0,MOUNTVILLE ELEMENTARY SCHOOL,130000101709,349.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1710.0,ROSEMONT ELEMENTARY SCHOOL,130000101710,572.0,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1852.0,LONG CANE MIDDLE SCHOOL,130000101852,954.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1853.0,HOGANSVILLE ELEMENTARY SCHOOL,130000101853,432.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1855.0,WHITESVILLE ROAD ELEMENTARY SCHOOL,130000101855,499.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1856.0,ETHEL KIGHT MAGNET ELEMENTARY SCHOOL,130000101856,508.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1857.0,WEST SIDE MAGNET SCHOOL,130000101857,380.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1962.0,WEST POINT ELEMENTARY SCHOOL,130000101962,398.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,1964.0,TROUP COUNTY HIGH SCHOOL,130000101964,1301.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,2011.0,LONG CANE ELEMENTARY SCHOOL,130000102011,541.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,2443.0,CALLAWAY MIDDLE SCHOOL,130000102443,664.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,2444.0,CALLAWAY HIGH SCHOOL,130000102444,841.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,2783.0,THE HOPE ACADEMY,130000102783,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,3455.0,FRANKLIN FOREST ELEMENTARY,130000103455,518.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,3779.0,Burwell Psychoeducational Program,130000103779,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300001,TROUP COUNTY,3789.0,CALLAWAY ELEMENTARY SCHOOL,130000103789,653.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300005,COMMISSION CHARTER SCHOOLS- CCAT SCHOOL,2626.0,CCAT SCHOOL,130000502626,144.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300007,NORTH GEORGIA RESA,2654.0,NORTHSTAR EDUCATIONAL AND THERAPEUTIC SERVICES,130000702654,22.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300007,NORTH GEORGIA RESA,99998.0,NORTHSTAR EDUCATIONAL AND THERAPEUTIC SERVICES,130000799998,33.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300007,NORTH GEORGIA RESA,99999.0,NORTHSTAR EDUCATIONAL AND THERAPEUTIC SERVICES,130000799999,42.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300008,PIONEER RESA,2627.0,ALPINE PSYCHOEDUCATIONAL PROGRAM,130000802627,120.0,,0.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300010,NORTHEAST GEORGIA RESA,2631.0,RUTLAND PSYCHOEDUCATIONAL PROGRAM,130001002631,152.0,,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
GA,1300011,Burwell Psychoeducational Center,2656.0,BURWELL PSYCHOEDUCATIONAL CENTER,130001102656,179.0,,0.0,5645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
GA,1300014,OCONEE RESA,2658.0,GNETS OF OCONEE,130001402658,93.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300015,CENTRAL SAVANNAH RIVER RESA,99999.0,RIVER QUEST PSYCHOEDUCATIONAL PROGRAM,130001599999,67.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300018,FIRST DISTRICT RESA,2662.0,COASTAL ACADEMY GNETS PROGRAM,130001802662,132.0,,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300018,FIRST DISTRICT RESA,2663.0,CEDARWOOD GNETS PROGRAM,130001802663,123.0,,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300021,OKEFENOKEE RESA,2637.0,HARRELL PSYCHOEDUCATIONAL PROGRAM,130002102637,119.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300022,STATE SCHOOLS - GEORGIA DEPT OF EDUCATION,3061.0,ATLANTA AREA SCHOOL FOR THE DEAF,130002203061,205.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300022,STATE SCHOOLS - GEORGIA DEPT OF EDUCATION,3062.0,GEORGIA ACADEMY FOR THE BLIND,130002203062,124.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300022,STATE SCHOOLS - GEORGIA DEPT OF EDUCATION,3063.0,GEORGIA SCHOOL FOR THE DEAF,130002203063,89.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300023,STATE CHARTER SCHOOLS- ODYSSEY SCHOOL,3482.0,ODYSSEY SCHOOL,130002303482,10774.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3484.0,SAVANNAH RIVER CHALLENGE,130002603484,39.0,X,1.0,21.0,0.0,0.0,0.0,0.0,11.0,81.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3487.0,CRISP RYDC,130002603487,62.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3488.0,AUGUSTA YOUTH DEVELOPMENT CAMPUS,130002603488,113.0,Z,125.0,65.0,0.0,0.0,0.0,0.0,145.0,101.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3490.0,MACON YOUTH DEVELOPMENT CAMPUS,130002603490,58.0,Z,39.0,64.0,0.0,0.0,0.0,0.0,79.0,253.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3492.0,EASTMAN YOUTH DEVELOPMENT CAMPUS,130002603492,150.0,Z,399.0,78.0,0.0,0.0,0.0,0.0,957.0,228.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3518.0,SUMTER YOUTH DEVELOPMENT CAMPUS,130002603518,149.0,Z,263.0,133.0,0.0,0.0,0.0,0.0,466.0,238.0,0.0,t,
GA,1300026,DEPARTMENT OF JUVENILE JUSTICE,3650.0,MUSCOGEE YOUTH DEVELOPMENT CENTER,130002603650,61.0,Z,48.0,67.0,0.0,0.0,0.0,0.0,103.0,80.0,0.0,t,
GA,1300060,APPLING COUNTY,6.0,APPLING COUNTY PRIMARY SCHOOL,130006000006,769.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300060,APPLING COUNTY,7.0,APPLING COUNTY ELEMENTARY SCHOOL,130006000007,538.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300060,APPLING COUNTY,8.0,FOURTH DISTRICT ELEMENTARY SCHOOL,130006000008,145.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300060,APPLING COUNTY,9.0,APPLING COUNTY MIDDLE SCHOOL,130006000009,757.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300060,APPLING COUNTY,10.0,APPLING COUNTY HIGH SCHOOL,130006000010,955.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,f,
GA,1300060,APPLING COUNTY,11.0,ALTAMAHA ELEMENTARY SCHOOL,130006000011,381.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300060,APPLING COUNTY,3587.0,BAXLEY WILDERNESS INSTITUTE,130006003587,24.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
GA,1300090,ATKINSON COUNTY,13.0,PEARSON ELEMENTARY SCHOOL,130009000013,681.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300090,ATKINSON COUNTY,15.0,ATKINSON COUNTY HIGH SCHOOL,130009000015,426.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300090,ATKINSON COUNTY,1965.0,WILLACOOCHEE ELEMENTARY SCHOOL,130009001965,229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300090,ATKINSON COUNTY,3996.0,ATKINSON COUNTY MIDDLE SCHOOL,130009003996,382.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,17.0,LONG MIDDLE SCHOOL,130012000017,699.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,22.0,BOYD ELEMENTARY SCHOOL,130012000022,489.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,25.0,KING MIDDLE SCHOOL,130012000025,657.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,27.0,INMAN MIDDLE SCHOOL,130012000027,941.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,29.0,GARDEN HILLS ELEMENTARY SCHOOL,130012000029,754.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,34.0,TOWNS ELEMENTARY SCHOOL,130012000034,490.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,36.0,RIVERS ELEMENTARY SCHOOL,130012000036,669.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,38.0,KIMBERLY ELEMENTARY SCHOOL,130012000038,617.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,39.0,HUTCHINSON ELEMENTARY SCHOOL,130012000039,516.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,42.0,GROVE PARK ELEMENTARY SCHOOL,130012000042,443.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,43.0,HUMPHRIES ELEMENTARY SCHOOL,130012000043,444.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,45.0,F. L. STANTON ELEMENTARY SCHOOL,130012000045,340.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,48.0,KENNEDY MIDDLE SCHOOL,130012000048,382.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,49.0,PARKS MIDDLE SCHOOL,130012000049,461.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,50.0,WOODSON ELEMENTARY SCHOOL,130012000050,415.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,52.0,TOOMER ELEMENTARY SCHOOL,130012000052,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,54.0,DUNBAR ELEMENTARY SCHOOL,130012000054,487.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,58.0,SYLVAN HILLS MIDDLE SCHOOL,130012000058,544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,59.0,SLATER ELEMENTARY SCHOOL,130012000059,656.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,60.0,PRICE MIDDLE SCHOOL,130012000060,729.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,63.0,MILES ELEMENTARY SCHOOL,130012000063,483.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,65.0,HERNDON ELEMENTARY,130012000065,313.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,66.0,GRADY HIGH SCHOOL,130012000066,1548.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,69.0,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,494.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,72.0,WASHINGTON HIGH SCHOOL SENIOR ACADEMY,130012000072,265.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,73.0,BENTEEN ELEMENTARY SCHOOL,130012000073,247.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,77.0,D. H. STANTON ELEMENTARY SCHOOL,130012000077,311.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,82.0,COAN MIDDLE SCHOOL,130012000082,376.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,84.0,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,298.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,85.0,M. A. JONES ELEMENTARY SCHOOL,130012000085,698.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,89.0,DOUGLASS HIGH SCHOOL,130012000089,1185.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,90.0,COOK ELEMENTARY SCHOOL,130012000090,409.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,91.0,CLEVELAND ELEMENTARY SCHOOL,130012000091,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,92.0,CASCADE ELEMENTARY SCHOOL,130012000092,485.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,97.0,WHITEFOORD ELEMENTARY SCHOOL,130012000097,283.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,99.0,SCOTT ELEMENTARY SCHOOL,130012000099,545.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
GA,1300120,ATLANTA PUBLIC SCHOOLS,103.0,FICKETT ELEMENTARY SCHOOL,130012000103,723.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
