State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
IA,1900006,NORTH FAYETTE COMM SCHOOL DISTRICT,1231.0,HAWKEYE ELEMENTARY SCHOOL,190000601231,126.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900006,NORTH FAYETTE COMM SCHOOL DISTRICT,1232.0,NORTH FAYETTE HIGH SCHOOL,190000601232,248.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900006,NORTH FAYETTE COMM SCHOOL DISTRICT,1233.0,NORTH MIDDLE SCHOOL,190000601233,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900006,NORTH FAYETTE COMM SCHOOL DISTRICT,1234.0,WEST UNION  ELEMENTARY SCHOOL,190000601234,328.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900009,COLFAX-MINGO COMM SCHOOL DISTRICT,385.0,COLFAX-MINGO ELEMENTARY SCHOOL,190000900385,425.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900009,COLFAX-MINGO COMM SCHOOL DISTRICT,386.0,COLFAX-MINGO HIGH SCHOOL,190000900386,267.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900009,COLFAX-MINGO COMM SCHOOL DISTRICT,1976.0,COLFAX-MINGO MIDDLE SCHOOL,190000901976,151.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900015,SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT,1485.0,SIBLEY-OCHEYEDAN MIDDLE SCHOOL,190001501485,231.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900015,SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT,1486.0,SIBLEY OCHEYEDAN ELEMENTARY SCHOOL,190001501486,372.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
IA,1900015,SIBLEY-OCHEYEDAN COMM SCHOOL DISTRICT,1487.0,SIBLEY-OCHEYEDAN HIGH SCHOOL,190001501487,205.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900021,OKOBOJI COMM SCHOOL DISTRICT,2002.0,OKOBOJI HIGH SCHOOL,190002102002,279.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IA,1900021,OKOBOJI COMM SCHOOL DISTRICT,2003.0,OKOBOJI MIDDLE SCHOOL,190002102003,258.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
