State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
ID,1600001,WEST BONNER COUNTY DISTRICT,84.0,PRIEST RIVER LAMANNA HIGH,160000100084,417.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600001,WEST BONNER COUNTY DISTRICT,85.0,PRIEST RIVER JR HIGH SCHOOL,160000100085,199.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600001,WEST BONNER COUNTY DISTRICT,613.0,IDAHO HILL ELEMENTARY SCHOOL,160000100613,164.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600001,WEST BONNER COUNTY DISTRICT,619.0,PRIEST RIVER ELEMENTARY SCHOOL,160000100619,453.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600001,WEST BONNER COUNTY DISTRICT,620.0,PRIEST LAKE ELEMENTARY SCHOOL,160000100620,36.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600001,WEST BONNER COUNTY DISTRICT,771.0,PREP (ALT) HIGH SCHOOL,160000100771,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600002,LAKE PEND OREILLE DISTRICT,82.0,CLARK FORK JR-SR HIGH SCHOOL,160000200082,174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600002,LAKE PEND OREILLE DISTRICT,87.0,SANDPOINT HIGH SCHOOL,160000200087,1525.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600002,LAKE PEND OREILLE DISTRICT,603.0,KOOTENAI ELEMENTARY SCHOOL,160000200603,576.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ID,1600002,LAKE PEND OREILLE DISTRICT,604.0,SANDPOINT JUVENILE DETENTION,160000200604,6.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
