State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
IL,1700001,RIVER RIDGE CUSD 210,5115.0,RIVER RIDGE HIGH SCHOOL,170000105115,158.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700001,RIVER RIDGE CUSD 210,5116.0,RIVER RIDGE MIDDLE SCHOOL,170000105116,115.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700001,RIVER RIDGE CUSD 210,5651.0,RIVER RIDGE ELEMENTARY SCHOOL,170000105651,252.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700002,CASEY-WESTFIELD CUSD 4C,5087.0,CASEY-WESTFIELD HIGH SCHOOL,170000205087,328.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700002,CASEY-WESTFIELD CUSD 4C,5088.0,CASEY-WESTFIELD JR HIGH,170000205088,160.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700002,CASEY-WESTFIELD CUSD 4C,5089.0,MONROE ELEM SCHOOL,170000205089,536.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700003,BLUE RIDGE CUSD 18,5119.0,BLUE RIDGE HIGH SCHOOL,170000305119,246.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700003,BLUE RIDGE CUSD 18,5120.0,BLUE RIDGE JUNIOR HIGH SCHOOL,170000305120,122.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700003,BLUE RIDGE CUSD 18,5121.0,RUTH M SCHNEIDER ELEM SCHOOL,170000305121,281.0,,0.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700003,BLUE RIDGE CUSD 18,5123.0,BLUE RIDGE MANSFIELD ELEM SCH,170000305123,173.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700004,NORRIS CITY-OMAHA-ENFIELD CUSD 3,3009.0,NORRIS CITY-OMAHA ELEM SCHOOL,170000403009,380.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700004,NORRIS CITY-OMAHA-ENFIELD CUSD 3,3010.0,NORRIS CITY-OMAHA-ENFIELD H S,170000403010,205.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700004,NORRIS CITY-OMAHA-ENFIELD CUSD 3,5125.0,BOOTH ELEMENTARY SCHOOL,170000405125,174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700006,IDJJ SCH DIST 428,1883.0,IYC MURPHYSBORO,170000601883,2.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,3793.0,IYC CHICAGO,170000603793,162.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4213.0,IYC KEWANEE,170000604213,414.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4460.0,ILLINOIS YOUTH CENTER-WARRENVILLE,170000604460,138.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4462.0,ILLINOIS YOUTH CENTER-JOLIET,170000604462,498.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4464.0,ILLINOIS YOUTH CTR - ST CHARLES,170000604464,201.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4488.0,IL YOUTH CENTER - PERE MARQUETTE,170000604488,147.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700006,IDJJ SCH DIST 428,4902.0,SCHOOL DISTRICT 428 IYC-HRB,170000604902,540.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
IL,1700007,EASTLAND CUSD 308,3846.0,EASTLAND MIDDLE SCHOOL,170000703846,274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700007,EASTLAND CUSD 308,5083.0,EASTLAND HIGH SCHOOL,170000705083,208.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700007,EASTLAND CUSD 308,5086.0,EASTLAND ELEM SCHOOL - LANARK,170000705086,161.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700009,PINCKNEYVILLE SD 50,3322.0,PINCKNEYVILLE ELEM SCHOOL,170000903322,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700009,PINCKNEYVILLE SD 50,3323.0,PINCKNEYVILLE MIDDLE SCHOOL,170000903323,265.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700010,BEACH PARK CCSD 3,22.0,KENNETH MURPHY SCHOOL,170001000022,472.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700010,BEACH PARK CCSD 3,211.0,OAK CREST SCHOOL,170001000211,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700010,BEACH PARK CCSD 3,212.0,HOWE ELEMENTARY SCHOOL,170001000212,352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700010,BEACH PARK CCSD 3,213.0,BEACH PARK MIDDLE SCHOOL,170001000213,902.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700010,BEACH PARK CCSD 3,5141.0,NEWPORT ELEM SCHOOL,170001005141,353.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700014,GOREVILLE CUSD 1,5224.0,GOREVILLE HIGH SCHOOL,170001405224,185.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700014,GOREVILLE CUSD 1,5225.0,GOREVILLE ELEMENTARY SCHOOL,170001405225,450.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700015,JOPPA-MAPLE GROVE UD 38,5226.0,JOPPA JR & SR HIGH SCHOOL,170001505226,111.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700015,JOPPA-MAPLE GROVE UD 38,5227.0,MAPLE GROVE ELEM SCHOOL,170001505227,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,685.0,H E L P  MARSHALL,170002300685,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,700.0,H E L P  SULLIVAN,170002300700,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,1922.0,FRESH START TREATMENT & LEARNING,170002301922,68.0,,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,4730.0,TREATMENT & LEARNING CENTER-H,170002304730,78.0,,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,4731.0,DIAGNOSTIC & DEVELOPMENTAL CTR,170002304731,43.0,,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700023,EASTERN IL AREA OF SPEC EDUC,5042.0,TREATMENT & LEARNING CENTER,170002305042,47.0,,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700024,A E R O  SPEC EDUC COOP,4632.0,A E R O EDUCATIONAL CENTER,170002404632,96.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700024,A E R O  SPEC EDUC COOP,4633.0,P R I D E SCHOOL,170002404633,132.0,,0.0,322.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700029,SPEED SEJA #802,1305.0,SPEED PROGRAM FOR ADAPTIVE LEARN,170002901305,162.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IL,1700029,SPEED SEJA #802,1314.0,SPEED INDEPENDENCE HIGH SCHOOL,170002901314,64.0,,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
