State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
IN,1800008,WHITE RIVER VALLEY SCH DIST,2090.0,WORTHINGTON ELEMENTARY SCHOOL,180000802090,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800008,WHITE RIVER VALLEY SCH DIST,2302.0,WHITE RIVER VALLEY JR/SR HIGH SCH,180000802302,379.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800008,WHITE RIVER VALLEY SCH DIST,2304.0,LYONS ELEMENTARY SCHOOL,180000802304,183.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800010,GREATER RANDOLPH INTERLOCAL COOP,99999.0,ALTERNATIVE SCHOOL,180001099999,21.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800011,COMMUNITY MONTESSORI INC,1737.0,COMMUNITY MONTESSORI,180001101737,511.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800012,NEW COMMUNITY SCHOOL,1757.0,NEW COMMUNITY SCHOOL,180001201757,240.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,f,
IN,1800013,TIMOTHY L JOHNSON ACADEMY,1774.0,TIMOTHY L JOHNSON ACADEMY,180001301774,305.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800014,"IRVINGTON COMMUNITY SCHOOL, INC.",1756.0,IRVINGTON COMMUNITY SCHOOL,180001401756,969.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800015,VERITAS ACADEMY,1786.0,VERITAS ACADEMY,180001501786,103.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800016,OPTIONS CHARTER SCHOOL - CARMEL,1738.0,OPTIONS CHARTER SCHOOL - CARMEL,180001601738,158.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800018,CHRISTEL HOUSE ACADEMY,1789.0,CHRISTEL HOUSE ACADEMY,180001801789,576.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800019,FLANNER HOUSE ELEMENTARY SCHOOL,1793.0,FLANNER HOUSE ELEM SCH (CHARTER),180001901793,252.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800021,SIGNATURE SCHOOL INC,319.0,SIGNATURE SCHOOL INC,180002100319,314.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800023,IN SCH FOR THE BLIND & VIS IMPRD,2257.0,INDIANA SCHOOL FOR THE BLIND,180002302257,153.0,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800024,INDIANA SCHOOL FOR THE DEAF,2258.0,INDIANA SCHOOL FOR THE DEAF,180002402258,335.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800025,THEA BOWMAN LEADERSHIP ACADEMY,1807.0,THEA BOWMAN LEADERSHIP ACADEMY,180002501807,1501.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800027,CHARTER SCHOOL OF THE DUNES,1815.0,CHARTER SCHOOL OF THE DUNES,180002701815,424.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800028,KIPP INDPLS COLLEGE PREPARATORY,2136.0,KIPP INDPLS COLLEGE PREPARATORY,180002802136,289.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,1.0,ABOITE ELEMENTARY SCHOOL,180003000001,514.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,2.0,HOMESTEAD SENIOR HIGH SCHOOL,180003000002,2197.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,5.0,WOODSIDE MIDDLE SCHOOL,180003000005,984.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,83.0,WHISPERING MEADOW ELEM SCH,180003000083,474.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,116.0,SUMMIT MIDDLE SCHOOL,180003000116,724.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,1810.0,COVINGTON ELEMENTARY SCHOOL,180003001810,772.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
IN,1800030,M S D SOUTHWEST ALLEN COUNTY,2044.0,LAFAYETTE MEADOW SCHOOL,180003002044,493.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
