State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
KS,2000001,SOUTHEAST OF SALINE,523.0,SOUTHEAST SALINE HIGH,200000100523,392.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000001,SOUTHEAST OF SALINE,524.0,SOUTHEAST SALINE ELEM,200000100524,370.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000002,SMOKY VALLEY,907.0,SODERSTROM ELEM,200000200907,280.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000002,SMOKY VALLEY,909.0,MARQUETTE ELEM,200000200909,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000002,SMOKY VALLEY,1467.0,SMOKY VALLEY MIDDLE SCHOOL,200000201467,285.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000002,SMOKY VALLEY,1649.0,SMOKY VALLEY HIGH,200000201649,310.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000002,SMOKY VALLEY,1809.0,SMOKY VALLEY VIRTUAL CHARTER SCHOOL,200000201809,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000003,USD 320 WAMEGO,583.0,WAMEGO MIDDLE SCHOOL,200000300583,301.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000003,USD 320 WAMEGO,585.0,WAMEGO HIGH,200000300585,397.0,,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KS,2000003,USD 320 WAMEGO,1607.0,CENTRAL ELEM,200000301607,382.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
