State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
KY,2100030,ADAIR CO,1.0,ADAIR COUNTY HIGH SCHOOL,210003000001,701.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100030,ADAIR CO,3.0,COLONEL WILLIAM CASEY ELEMENTARY,210003000003,467.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100030,ADAIR CO,1913.0,ADAIR YOUTH DEVELOPMENT CENTER,210003001913,40.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
KY,2100030,ADAIR CO,1918.0,JOHN ADAIR INTERMEDIATE SCHOOL,210003001918,351.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100030,ADAIR CO,1919.0,ADAIR COUNTY MIDDLE SCHOOL,210003001919,396.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100030,ADAIR CO,2021.0,ADAIR COUNTY ELEMENTARY SCHOOL,210003002021,659.0,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,f,
KY,2100070,ALLEN CO,8.0,ALLEN COUNTY PRIMARY CENTER,210007000008,1157.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100070,ALLEN CO,9.0,JAMES E BAZZELL MIDDLE SCHOOL,210007000009,463.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100070,ALLEN CO,10.0,ALLEN COUNTY-SCOTTSVILLE HIGH SCHOOL,210007000010,849.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100070,ALLEN CO,13.0,ALLEN COUNTY INTERMEDIATE CENTER,210007000013,768.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1072.0,BREMEN ELEMENTARY SCHOOL,210008101072,333.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1080.0,LONGEST ELEMENTARY,210008101080,497.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1081.0,MUHLENBERG NORTH MIDDLE,210008101081,626.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1514.0,CENTRAL CITY ELEMENTARY,210008101514,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1515.0,THE RENAISSANCE CENTER,210008101515,26.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1516.0,GREENVILLE ELEMENTARY SCHOOL,210008101516,533.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1517.0,MUHLENBERG SOUTH MIDDLE SCHOOL,210008101517,568.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1961.0,MUHLENBERG CAREER HIGH SCHOOL,210008101961,139.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,1967.0,MUHLENBERG SOUTH ELEMENTARY,210008101967,568.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100081,MUHLENBERG COUNTY,2258.0,MUHLENBERG COUNTY HIGH SCHOOL,210008102258,1385.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100090,ANCHORAGE IND,14.0,ANCHORAGE INDEPENDENT PUBLIC SCHOOL,210009000014,382.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100094,KENTUCKY SCHOOL FOR THE BLIND,1779.0,KENTUCKY SCHOOL FOR THE BLIND,210009401779,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100095,KENTUCKY SCHOOL FOR THE DEAF,1715.0,KENTUCKY SCHOOL FOR THE DEAF,210009501715,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
KY,2100120,ANDERSON CO,16.0,ANDERSON COUNTY HIGH SCHOOL,210012000016,1239.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
