State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
LA,2200017,LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,1975.0,LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,220001701975,317.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200018,LA SCHOOLS FOR THE DEAF AND THE VISUALLY IMPAIRED,193.0,LOUISIANA SCHOOL FOR THE VISUALLY IMPAIRED,220001800193,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200018,LA SCHOOLS FOR THE DEAF AND THE VISUALLY IMPAIRED,1789.0,LOUISIANA SCHOOL FOR THE DEAF,220001801789,155.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200020,LOUISIANA SPECIAL EDUCATION CENTER,267.0,LOUISIANA SPECIAL EDUCATION CENTER,220002000267,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200022,LSU LABORATORY SCHOOL,1922.0,LSU LABORATORY SCHOOL,220002201922,1375.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200025,NEW VISION LEARNING ACADEMY,1000.0,NEW VISION LEARNING ACADEMY,220002501000,364.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,1.0,ARMSTRONG MIDDLE SCHOOL,220003000001,362.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,2.0,BRANCH ELEMENTARY SCHOOL,220003000002,283.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,3.0,CENTRAL RAYNE KINDERGARTEN SCHOOL,220003000003,215.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,4.0,CHURCH POINT HIGH SCHOOL,220003000004,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,5.0,CHURCH POINT MIDDLE SCHOOL,220003000005,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,6.0,CROWLEY HIGH SCHOOL,220003000006,701.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,7.0,CROWLEY MIDDLE SCHOOL,220003000007,543.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
LA,2200030,ACADIA PARISH,8.0,CROWLEY KINDERGARTEN SCHOOL,220003000008,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
