State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MD,2400002,MARYLAND SCHOOL FOR THE DEAF FREDERICK CAMPUS,1.0,MARYLAND SCHOOL FOR THE DEAF FREDERICK CAMPUS,240000200001,331.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400002,MARYLAND SCHOOL FOR THE DEAF FREDERICK CAMPUS,2.0,MARYLAND SCHOOL FOR THE DEAF COLUMBIA CAMPUS,240000200002,153.0,,0.0,54.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400027,THE SEED SCHOOL OF MARYLAND,1669.0,THE SEED SCHOOL OF MARYLAND,240002701669,313.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,1.0,ALLEGANY HIGH,240003000001,696.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,3.0,BEALL ELEMENTARY,240003000003,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,5.0,BEL AIR ELEMENTARY,240003000005,222.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,6.0,BRADDOCK MIDDLE,240003000006,578.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,7.0,WESTMAR MIDDLE,240003000007,296.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,10.0,CRESAPTOWN ELEMENTARY,240003000010,358.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,14.0,FLINTSTONE ELEMENTARY,240003000014,224.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,15.0,FORT HILL HIGH,240003000015,744.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,16.0,FROST ELEMENTARY,240003000016,229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,17.0,GEORGE'S CREEK ELEMENTARY,240003000017,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,19.0,JOHN HUMBIRD ELEMENTARY,240003000019,286.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,23.0,MOUNT SAVAGE MIDDLE,240003000023,423.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,24.0,NORTHEAST ELEMENTARY,240003000024,345.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MD,2400030,ALLEGANY COUNTY PUBLIC SCHOOLS,26.0,PARKSIDE ELEMENTARY,240003000026,268.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
