State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
ME,2300008,FAYETTE SCHOOL DEPARTMENT,455.0,FAYETTE CENTRAL SCHOOL,230000800455,78.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300009,LONG ISLAND SCHOOL DEPARTMENT,32.0,LONG ISLAND ELEMENTARY SCHOOL,230000900032,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300049,ME SCH OF SCIENCE & MATHEMATICS,293.0,ME SCH OF SCIENCE & MATHEMATICS,230004900293,115.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300050,ARTHUR R. GOULD SCH--LCYDC,377.0,ARTHUR R. GOULD SCH--LCYDC,230005000377,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300051,ME EDUCATIONAL CTR FOR THE DEAF & HARD OF HEARING,381.0,Maine Educational Center for the Deaf and Hard of Hearing,230005100381,32.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300053,FIVE TOWN CSD,504.0,CAMDEN HILLS REGIONAL H S,230005300504,640.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300056,MOUNTAIN VIEW YOUTH DEV CTR,547.0,MOUNTAIN VIEW YOUTH DEV CTR,230005600547,53.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
ME,2300062,EAST MACHIAS SCHOOL DEPARTMENT,560.0,ELM STREET SCHOOL-EAST MACHIAS,230006200560,174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300065,CUTLER SCHOOL DEPARTMENT,1020.0,BAY RIDGE ELEMENTARY,230006501020,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300067,MACHIASPORT SCHOOL DEPARTMENT,561.0,FORT O'BRIEN SCHOOL,230006700561,63.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300068,WHITING SCHOOL DEPARTMENT,564.0,WHITING VILLAGE SCHOOL,230006800564,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2300069,PLEASANT POINT,99999.0,BEATRICE RAFFERTY SCHOOL,230006999999,121.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302220,ACTON SCHOOL DEPARTMENT,1.0,ACTON ELEMENTARY SCHOOL,230222000001,212.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
ME,2302280,ALEXANDER SCHOOL DEPARTMENT,975.0,ALEXANDER ELEMENTARY,230228000975,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302500,AIRLINE CSD,7.0,AIRLINE COMMUNITY SCHOOL,230250000007,38.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302510,APPLETON SCHOOL DEPARTMENT,906.0,APPLETON VILLAGE SCHOOL,230251000906,138.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,12.0,EAST AUBURN COMMUNITY SCHOOL,230261000012,157.0,,0.0,4.0,10.0,0.0,0.0,0.0,0.0,3.0,4.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,13.0,EDWARD LITTLE HIGH SCHOOL,230261000013,911.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,14.0,FAIRVIEW SCHOOL,230261000014,568.0,,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,18.0,SHERWOOD HEIGHTS ELEMENTARY SCH,230261000018,412.0,,0.0,40.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,20.0,WALTON SCHOOL,230261000020,300.0,,0.0,10.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,21.0,WASHBURN SCHOOL,230261000021,252.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,626.0,PARK AVENUE ELEMENTARY SCHOOL,230261000626,370.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,907.0,AUBURN MIDDLE SCHOOL,230261000907,563.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302610,AUBURN SCHOOL DEPARTMENT,99999.0,FRANKLIN ALTERNATIVE SCHOOL,230261099999,88.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,40.0,LILLIAN PARKS HUSSEY SCHOOL,230264000040,206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,42.0,SYLVIO J GILBERT SCHOOL,230264000042,297.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,57.0,CAPITAL AREA TECHNICAL CENTER,230264000057,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,1002.0,FARRINGTON SCHOOL,230264001002,378.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,1003.0,LINCOLN SCHOOL,230264001003,285.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302640,AUGUSTA PUBLIC SCHOOLS,23118.0,CONY,230264023118,1098.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302730,BAILEYVILLE SCHOOL DEPARTMENT,44.0,WOODLAND ELEMENTARY SCHOOL,230273000044,132.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302730,BAILEYVILLE SCHOOL DEPARTMENT,45.0,WOODLAND JR-SR HIGH SCHOOL,230273000045,192.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,46.0,ABRAHAM LINCOLN SCHOOL,230282000046,266.0,,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,47.0,BANGOR HIGH SCHOOL,230282000047,1242.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,49.0,DOWNEAST SCHOOL,230282000049,345.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,50.0,FAIRMOUNT SCHOOL,230282000050,274.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,51.0,JAMES F. DOUGHTY SCHOOL,230282000051,381.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,53.0,FRUIT STREET SCHOOL,230282000053,336.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,54.0,WILLIAM S. COHEN SCHOOL,230282000054,395.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,58.0,VINE STREET SCHOOL,230282000058,250.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,1004.0,MARY SNOW SCHOOL,230282001004,290.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302820,BANGOR SCHOOL DEPARTMENT,1005.0,FOURTEENTH STREET SCHOOL,230282001005,173.0,,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,f,
ME,2302850,BAR HARBOR SCHOOL DEPARTMENT,60.0,CONNERS-EMERSON SCHOOL,230285000060,429.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2302950,BEALS SCHOOL DEPARTMENT,70.0,BEALS ELEMENTARY SCHOOL,230295000070,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
ME,2303150,BIDDEFORD SCHOOL DEPARTMENT,72.0,BIDDEFORD HIGH SCHOOL,230315000072,852.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303150,BIDDEFORD SCHOOL DEPARTMENT,76.0,JOHN F KENNEDY MEMORIAL SCHOOL,230315000076,220.0,,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303150,BIDDEFORD SCHOOL DEPARTMENT,622.0,BIDDEFORD INTERMEDIATE SCHOOL,230315000622,381.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303150,BIDDEFORD SCHOOL DEPARTMENT,1017.0,BIDDEFORD MIDDLE SCHOOL,230315001017,600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303150,BIDDEFORD SCHOOL DEPARTMENT,1042.0,BIDDEFORD PRIMARY SCHOOL,230315001042,561.0,,0.0,107.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,f,
ME,2303210,BLUE HILL SCHOOL DEPARTMENT,79.0,BLUE HILL CONSOLIDATED SCHOOL,230321000079,241.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303510,BREWER SCHOOL DEPARTMENT,84.0,BREWER HIGH SCHOOL,230351000084,722.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303510,BREWER SCHOOL DEPARTMENT,99999.0,BREWER COMMUNITY SCHOOL,230351099999,982.0,,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303600,BRISTOL SCHOOL DEPARTMENT,90.0,BRISTOL CONSOLIDATED SCHOOL,230360000090,188.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303610,BROOKLIN SCHOOL DEPARTMENT,254.0,BROOKLIN SCHOOL,230361000254,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303640,BROOKSVILLE SCHOOL DEPARTMENT,94.0,BROOKSVILLE ELEMENTARY SCHOOL,230364000094,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303780,BRUNSWICK SCHOOL DEPARTMENT,96.0,BRUNSWICK JR HIGH SCHOOL,230378000096,527.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303780,BRUNSWICK SCHOOL DEPARTMENT,97.0,COFFIN SCHOOL,230378000097,382.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303780,BRUNSWICK SCHOOL DEPARTMENT,268.0,BRUNSWICK HIGH SCHOOL,230378000268,867.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,f,
ME,2303780,BRUNSWICK SCHOOL DEPARTMENT,99999.0,HARRIET BEECHER STOWE SCHOOL,230378099999,653.0,,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303870,CALAIS SCHOOL DEPARTMENT,105.0,CALAIS ELEMENTARY SCHOOL,230387000105,270.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303870,CALAIS SCHOOL DEPARTMENT,106.0,CALAIS MIDDLE/HIGH SCHOOL,230387000106,309.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303930,CAPE ELIZABETH SCHOOL DEPARTMENT,108.0,CAPE ELIZABETH HIGH SCHOOL,230393000108,541.0,,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303930,CAPE ELIZABETH SCHOOL DEPARTMENT,109.0,CAPE ELIZABETH MIDDLE SCHOOL,230393000109,554.0,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2303930,CAPE ELIZABETH SCHOOL DEPARTMENT,110.0,POND COVE ELEMENTARY,230393000110,579.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2304080,CASTINE SCHOOL DEPARTMENT,117.0,ADAMS SCHOOL,230408000117,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ME,2304110,CASWELL SCHOOL DEPARTMENT,118.0,DAWN F BARNES ELEMENTARY SCH,230411000118,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
