State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,477.0,BATTLE CREEK MATH-SCI CENTER,260000500477,327.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,807.0,BEARCAT ALTERNATIVE CENTER,260000500807,179.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,1530.0,EARLY CHILDHOOD EDUCATION,260000501530,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,1683.0,ANN J. KELLOGG SCHOOL,260000501683,249.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,1684.0,LAMORA PARK SCHOOL,260000501684,251.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3830.0,BATTLE CREEK CENTRAL HIGH SCHOOL,260000503830,1157.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3831.0,COBURN SCHOOL,260000503831,262.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3832.0,DUDLEY SCHOOL,260000503832,370.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3833.0,FRANKLIN SCHOOL,260000503833,323.0,,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3834.0,FREMONT SCHOOL,260000503834,272.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3839.0,NORTHWESTERN MIDDLE SCHOOL,260000503839,526.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3844.0,SPRINGFIELD MIDDLE SCHOOL,260000503844,538.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3846.0,URBANDALE SCHOOL,260000503846,384.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3847.0,VALLEY VIEW ELEMENTARY SCHOOL,260000503847,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600005,BATTLE CREEK PUBLIC SCHOOLS,3848.0,VERONA ELEMENTARY SCHOOL,260000503848,401.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,f,
MI,2600006,BESSEMER AREA SCHOOL DISTRICT,3854.0,A.D. JOHNSTON JR/SR HIGH SCHOOL,260000603854,209.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600006,BESSEMER AREA SCHOOL DISTRICT,3855.0,WASHINGTON SCHOOL,260000603855,239.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600007,HARBOR BEACH COMMUNITY SCHOOLS,848.0,HARBOR BEACH MIDDLE SCHOOL,260000700848,205.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600007,HARBOR BEACH COMMUNITY SCHOOLS,3856.0,HARBOR BEACH COMMUNITY HIGH SCHOOL,260000703856,253.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600007,HARBOR BEACH COMMUNITY SCHOOLS,3857.0,HARBOR BEACH ELEMENTARY SCHOOL,260000703857,206.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600010,SIGEL TOWNSHIP S/D #3F,3860.0,ADAMS ELEMENTARY SCHOOL,260001003860,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600011,SIGEL TOWNSHIP S/D #4F,3861.0,ECCLES SCHOOL,260001103861,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600012,ST. IGNACE AREA SCHOOLS,921.0,ST. IGNACE ELEMENTARY SCHOOL,260001200921,221.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600012,ST. IGNACE AREA SCHOOLS,3862.0,LASALLE HIGH SCHOOL,260001203862,215.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600012,ST. IGNACE AREA SCHOOLS,7696.0,ST. IGNACE MIDDLE SCHOOL,260001207696,199.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,209.0,CHERRY CREEK ELEMENTARY SCHOOL,260001300209,324.0,,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,1885.0,GRAVERAET SCHOOL,260001301885,116.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,3867.0,SUPERIOR HILLS ELEMENTARY SCHOOL,260001303867,361.0,,0.0,2.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,3869.0,MARQUETTE SENIOR HIGH SCHOOL,260001303869,986.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,3871.0,SANDY KNOLL ELEMENTARY SCHOOL,260001303871,376.0,,0.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,3875.0,BOTHWELL MIDDLE SCHOOL,260001303875,840.0,,0.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600013,MARQUETTE AREA PUBLIC SCHOOLS,8007.0,VANDENBOOM CHILD DEVELOPMENT CENTER,260001308007,36.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600014,EWEN-TROUT CREEK CONSOLIDATED SCHOOL DISTRICT,3877.0,EWEN-TROUT CREEK CONSOLIDATED SCHOOL,260001403877,241.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,3912.0,CRESTWOOD HIGH SCHOOL,260001603912,1313.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,3913.0,HILLCREST ELEMENTARY SCHOOL,260001603913,271.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,3914.0,KINLOCH ELEMENTARY SCHOOL,260001603914,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,3915.0,RIVERSIDE MIDDLE SCHOOL,260001603915,1090.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,7444.0,HIGHVIEW ELEMENTARY SCHOOL,260001607444,305.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600016,CRESTWOOD SCHOOL DISTRICT,7978.0,CRESTWOOD ACCELERATED PROGRAM,260001607978,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600017,BAD AXE PUBLIC SCHOOLS,3918.0,BAD AXE HIGH SCHOOL,260001703918,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600017,BAD AXE PUBLIC SCHOOLS,3919.0,BAD AXE MIDDLE SCHOOL,260001703919,308.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MI,2600017,BAD AXE PUBLIC SCHOOLS,3920.0,BAD AXE ELEMENTARY SCHOOL,260001703920,354.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
