State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MN,2700001,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,1610.0,MERRITT ELEMENTARY,270000101610,267.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700001,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,1613.0,MOUNTAIN IRON-BUHL SECONDARY,270000101613,235.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700001,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,3165.0,MESABI ACADEMY SCHOOL,270000103165,118.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
MN,2700005,UNITED SOUTH CENTRAL SCHOOL DIST.,1769.0,UNITED SOUTH CENTRAL ELEMENTARY,270000501769,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700005,UNITED SOUTH CENTRAL SCHOOL DIST.,1770.0,UNITED SOUTH CENTRAL HIGH SCHOOL,270000501770,331.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700006,MAPLE RIVER SCHOOL DISTRICT,92.0,MAPLE RIVER WEST ELEMENTARY,270000600092,272.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700006,MAPLE RIVER SCHOOL DISTRICT,888.0,MAPLE RIVER SENIOR HIGH,270000600888,322.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700006,MAPLE RIVER SCHOOL DISTRICT,1069.0,MAPLE RIVER EAST ELEMENTARY,270000601069,195.0,,0.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700006,MAPLE RIVER SCHOOL DISTRICT,1070.0,MAPLE RIVER MIDDLE SCHOOL,270000601070,290.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700007,KINGSLAND PUBLIC SCHOOL DISTRICT,1468.0,KINGSLAND ELEMENTARY,270000701468,265.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700007,KINGSLAND PUBLIC SCHOOL DISTRICT,1469.0,KINGSLAND SENIOR HIGH,270000701469,298.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700007,KINGSLAND PUBLIC SCHOOL DISTRICT,1845.0,KINGSLAND MIDDLE,270000701845,138.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700008,ST. LOUIS COUNTY SCHOOL DISTRICT,158.0,BABBITT ELEMENTARY,270000800158,173.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MN,2700008,ST. LOUIS COUNTY SCHOOL DISTRICT,1513.0,CHERRY ELEMENTARY,270000801513,258.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
