State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MO,2900001,MARIES CO. R-II,48.0,BELLE ELEM.,290000100048,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900001,MARIES CO. R-II,49.0,BELLE HIGH,290000100049,258.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900001,MARIES CO. R-II,2547.0,MARIES CO. MIDDLE,290000102547,284.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900002,SOUTH HARRISON CO. R-II,922.0,SOUTH HARRISON EARLY CHILD CTR,290000200922,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900002,SOUTH HARRISON CO. R-II,1641.0,SOUTH HARRISON ELEM.,290000201641,466.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900002,SOUTH HARRISON CO. R-II,1642.0,SOUTH HARRISON HIGH,290000201642,352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900002,SOUTH HARRISON CO. R-II,2400.0,NORTH CENTRAL CAREER CTR.,290000202400,353.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900003,PORTAGEVILLE,2458.0,PORTAGEVILLE HIGH,290000302458,389.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900003,PORTAGEVILLE,2459.0,PORTAGEVILLE ELEM.,290000302459,425.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900004,NEW MADRID CO. R-I,1482.0,LILBOURN ELEM.,290000401482,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900004,NEW MADRID CO. R-I,1484.0,NEW MADRID ELEM.,290000401484,288.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900004,NEW MADRID CO. R-I,1486.0,MATTHEWS ELEM.,290000401486,138.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900004,NEW MADRID CO. R-I,1488.0,CENTRAL HIGH,290000401488,445.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900004,NEW MADRID CO. R-I,1991.0,CENTRAL MIDDLE,290000401991,313.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900008,OZARK TECHNICAL COLLEGE,821.0,OZARK TECHNICAL COLLEGE,290000800821,115.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,1145.0,MONTGOMERY CITY TREATMENT CTR.,290000901145,44.0,Z,0.0,8.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1178.0,W. E. SEARS YOUTH CTR.,290000901178,116.0,X,0.0,8.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1185.0,SIERRA-OSAGE TREATMENT CTR.,290000901185,44.0,X,0.0,12.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1192.0,GIRARDOT CENTER FOR YOUTH,290000901192,51.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1193.0,ECHO DAY TREATMENT CTR.,290000901193,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,1195.0,HOGAN ST REGIONAL YOUTH CTR.,290000901195,55.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1199.0,BISSELL HALL,290000901199,42.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1215.0,TWIN RIVERS,290000901215,55.0,Z,0.0,4.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1226.0,FORT BELLEFONTAINE CAMPUS,290000901226,52.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1259.0,SPANISH LAKE CAMPUS,290000901259,51.0,Z,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1261.0,LEWIS AND CLARK HALL,290000901261,34.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1265.0,NEW DAY - DAY TREATMENT,290000901265,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,1270.0,NORTHWEST REG. YOUTH CTR.,290000901270,53.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1271.0,BABLER LODGE,290000901271,48.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1273.0,CAMP AVERY PARK CAMP,290000901273,74.0,Z,0.0,13.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1276.0,DELMINA WOODS YOUTH FACILITY,290000901276,52.0,Z,0.0,14.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1283.0,WAVERLY REGIONAL YOUTH CTR.,290000901283,68.0,Z,0.0,14.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1285.0,LANGSFORD HOUSE,290000901285,29.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1287.0,ALTERNATIVE RESOURCE CTR.,290000901287,17.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,1289.0,WATKINS MILL PARK CAMP,290000901289,132.0,Z,0.0,24.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1296.0,GREEN GABLES LODGE,290000901296,25.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1352.0,COMMUNITY LEARNING CTR.,290000901352,24.0,Z,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1358.0,WILSON CREEK GROUP HOME,290000901358,33.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1364.0,EXCEL SCHOOL,290000901364,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,1368.0,N.E. COMMUNITY TREATMENT CTR.,290000901368,22.0,Z,0.0,16.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,1936.0,DATEMA HOUSE,290000901936,31.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2172.0,FULTON TREATMENT CTR.,290000902172,50.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2179.0,CORNERSTONE,290000902179,28.0,Z,0.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2196.0,QUEST DAY TREATMENT,290000902196,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,2211.0,GATEWAY SCHOOL,290000902211,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,2710.0,NEW MADRID BEND YOUTH CTR.,290000902710,50.0,X,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2711.0,SIKESTON HOPE CTR.,290000902711,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MO,2900009,DIVISION OF YOUTH SERVICES,2712.0,RIVERBEND TREATMENT CTR.,290000902712,59.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2713.0,HILLSBORO TREATMENT CTR.,290000902713,48.0,Z,0.0,34.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2714.0,RICH HILL YOUTH DEV. CTR.,290000902714,58.0,Z,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2715.0,GENTRY RESIDENTIAL TREAT. FAC.,290000902715,56.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,t,
MO,2900009,DIVISION OF YOUTH SERVICES,2716.0,MT. VERNON TREATMENT CTR.,290000902716,66.0,Z,0.0,12.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,t,
