State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MS,2800001,MISSISSIPPI STATE HOSPITAL,714.0,LAKESIDE SCHOOL,280000100714,37.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800003,MAGNOLIA GROVE SCHOOL,919.0,MAGNOLIA GROVE SCHOOL,280000300919,175.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800031,MS SCHOOL FOR THE ARTS,1574.0,MS SCHOOL FOR THE ARTS,280003101574,138.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800183,ROGER AMOS MCMURTRY ADM,1317.0,ROGER AMOS MCMURTRY SCHOOL,280018301317,130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800360,ABERDEEN SCHOOL DIST,9.0,ABERDEEN HIGH SCHOOL,280036000009,451.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800360,ABERDEEN SCHOOL DIST,1366.0,SHIVERS MIDDLE SCHOOL,280036001366,294.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800360,ABERDEEN SCHOOL DIST,1371.0,BELLE ELEMENTARY,280036001371,299.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800360,ABERDEEN SCHOOL DIST,1372.0,ABERDEEN ELEMENTARY SCHOOL,280036001372,428.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,17.0,BIGGERSVILLE ELEMENTARY,280039000017,159.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,18.0,ALCORN CENTRAL HIGH SCHOOL,280039000018,394.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,19.0,GLENDALE ELEMENTARY SCHOOL,280039000019,148.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,20.0,KOSSUTH HIGH SCHOOL,280039000020,457.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,22.0,RIENZI ELEMENTARY SCHOOL,280039000022,139.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,1150.0,ALCORN CENTRAL ELEMENTARY SCHOOL,280039001150,463.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,1151.0,KOSSUTH ELEMENTARY SCHOOL,280039001151,597.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,1152.0,BIGGERSVILLE HIGH SCHOOL,280039001152,237.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,1188.0,ALCORN CENTRAL MIDDLE SCHOOL,280039001188,424.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MS,2800390,ALCORN SCHOOL DIST,1566.0,KOSSUTH MIDDLE SCHOOL,280039001566,494.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
