State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
MT,3000002,SOMERS ELEM,705.0,LAKESIDE ELEMENTARY SCHOOL,300000200705,402.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000002,SOMERS ELEM,965.0,SOMERS MIDDLE SCHOOL,300000200965,187.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000003,CUT BANK ELEM,18.0,GLACIER ELEMENTARY SCHOOL,300000300018,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000003,CUT BANK ELEM,233.0,CUT BANK ELEMENTARY,300000300233,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000003,CUT BANK ELEM,234.0,CUT BANK 7-8,300000300234,105.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000003,CUT BANK ELEM,242.0,HIDDEN LAKE ELEMENTARY,300000300242,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000004,MOUNTAIN VIEW ELEM,899.0,MOUNTAIN VIEW ELEMENTARY,300000400899,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,337.0,KESSLER ELEMENTARY SCHOOL,300000500337,251.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,415.0,BROADWATER SCHOOL,300000500415,278.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,416.0,BRYANT SCHOOL,300000500416,251.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,418.0,CENTRAL SCHOOL,300000500418,273.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,419.0,FOUR GEORGIANS SCHOOL,300000500419,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,420.0,HAWTHORNE SCHOOL,300000500420,256.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,421.0,JEFFERSON SCHOOL,300000500421,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,424.0,ROSSITER SCHOOL,300000500424,477.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,425.0,SMITH SCHOOL,300000500425,276.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,505.0,JIM DARCY SCHOOL,300000500505,287.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,506.0,WARREN SCHOOL,300000500506,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,885.0,HELENA MIDDLE SCHOOL,300000500885,680.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000005,HELENA ELEM,886.0,C R ANDERSON MIDDLE SCHL,300000500886,1009.0,,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000006,BROADUS ELEM,120.0,BROADUS SCHOOL,300000600120,111.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000006,BROADUS ELEM,1035.0,BROADUS 7-8,300000601035,54.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
MT,3000007,SOUTH STACEY ELEM,707.0,SOUTH STACEY SCHOOL,300000700707,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
