State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NC,3700001,NC DEPARTMENT OF PUBLIC INSTRUCTION,2215.0,GOV MOREHEAD SCHOOL,370000102215,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700001,NC DEPARTMENT OF PUBLIC INSTRUCTION,2256.0,WTN NC SCHOOL FOR THE DEAF,370000102256,78.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700001,NC DEPARTMENT OF PUBLIC INSTRUCTION,2258.0,ETN NC SCHOOL FOR THE DEAF,370000102258,73.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700002,NC SCHOOL OF SCIENCE AND MATH,2201.0,NC School of Science and Math,370000202201,678.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,394.0,ASHLEY ELEMENTARY,370001100394,292.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,395.0,BEAVER DAM ELEMENTARY,370001100395,134.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,396.0,LILLIAN BLACK ELEMENTARY,370001100396,210.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,397.0,BRENTWOOD ELEMENTARY,370001100397,560.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,399.0,DOUGLAS BYRD MIDDLE,370001100399,747.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,400.0,DOUGLAS BYRD HIGH,370001100400,1301.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,402.0,CAPE FEAR HIGH,370001100402,1570.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,403.0,ELIZABETH M CASHWELL ELEM,370001100403,688.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,405.0,EASTOVER CENTRAL ELEMENTARY,370001100405,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,406.0,ANNE CHESNUTT MIDDLE,370001100406,631.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,407.0,CLIFFDALE ELEMENTARY,370001100407,671.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,408.0,COLLEGE LAKES ELEMENTARY,370001100408,405.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,409.0,J W COON ELEMENTARY,370001100409,272.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,410.0,CUMBERLAND MILLS ELEM,370001100410,653.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,411.0,CUMBERLAND ROAD ELEMENTARY,370001100411,439.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,412.0,DISTRICT NO 7 ELEMENTARY,370001100412,279.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,414.0,ALDERMAN ROAD ELEMENTARY,370001100414,676.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,415.0,HOPE MILLS MIDDLE,370001100415,682.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,416.0,ED V BALDWIN ELEMENTARY,370001100416,706.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,417.0,LEWIS CHAPEL MIDDLE,370001100417,850.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,418.0,LONG HILL ELEMENTARY,370001100418,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,420.0,MASSEY HILL CLASSICAL HIGH,370001100420,384.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,421.0,MARY MCARTHUR ELEMENTARY,370001100421,487.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,422.0,MONTCLAIR ELEMENTARY,370001100422,451.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,423.0,MORGANTON ROAD ELEMENTARY,370001100423,493.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,424.0,MANCHESTER ELEMENTARY,370001100424,368.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,425.0,PINE FOREST MIDDLE,370001100425,781.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,426.0,PINE FOREST HIGH,370001100426,1579.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,427.0,PONDEROSA ELEMENTARY,370001100427,424.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,428.0,RALEIGH ROAD ELEMENTARY,370001100428,233.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,429.0,BENJAMIN J MARTIN ELEM,370001100429,499.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,430.0,ROCKFISH ELEMENTARY,370001100430,754.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,431.0,J W SEABROOK ELEMENTARY,370001100431,281.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,433.0,SEVENTY-FIRST HIGH,370001100433,1714.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,434.0,SHERWOOD PARK ELEMENTARY,370001100434,484.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,435.0,SOUTH VIEW MIDDLE,370001100435,811.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,436.0,SOUTH VIEW HIGH,370001100436,1846.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,437.0,SPRING LAKE MIDDLE,370001100437,467.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,438.0,STEDMAN PRIMARY,370001100438,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,440.0,SUNNYSIDE ELEMENTARY,370001100440,363.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,442.0,WARRENWOOD ELEMENTARY,370001100442,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,443.0,WESTAREA ELEMENTARY,370001100443,577.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,444.0,WESTOVER MIDDLE,370001100444,659.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,445.0,WESTOVER HIGH,370001100445,1105.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,446.0,ALGER B WILKINS ELEMENTARY,370001100446,200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,447.0,WILLIAM H OWEN ELEMENTARY,370001100447,469.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1097.0,WILLIAM T BROWN ELEMENTARY,370001101097,487.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1377.0,BILL HEFNER ELEMENTARY,370001101377,845.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1391.0,E MELVIN HONEYCUTT ELEM,370001101391,729.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1832.0,MAC WILLIAMS MIDDLE,370001101832,1225.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1833.0,SEVENTY-FIRST CLASSICAL MID,370001101833,541.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,1848.0,STEDMAN ELEMENTARY,370001101848,285.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2085.0,ARMSTRONG ELEMENTARY,370001102085,446.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2087.0,RAMSEY ST MS ALT PROGRAM,370001102087,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2119.0,ALMA EASOM ELEMENTARY,370001102119,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2120.0,LOYD E AUMAN ELEMENTARY,370001102120,589.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2121.0,C WAYNE COLLIER ELEMENTARY,370001102121,616.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NC,3700011,CUMBERLAND COUNTY SCHOOLS,2123.0,LUTHER NICK JERALDS MIDDLE,370001102123,617.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
