State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
ND,3800005,MARMOT SCHOOLS,797.0,MARMOT SCHOOL 9-12,380000500797,336.0,Z,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,t,
ND,3800005,MARMOT SCHOOLS,837.0,MARMOT SCHOOL K-8,380000500837,20.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
ND,3800014,BISMARCK 1,44.0,BECEP CENTER,380001400044,393.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,45.0,BISMARCK HIGH SCHOOL,380001400045,1298.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,47.0,CENTURY HIGH SCHOOL,380001400047,1199.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,48.0,DOROTHY MOSES ELEMENTARY SCHOOL,380001400048,406.0,,0.0,21.0,93.0,0.0,0.0,0.0,0.0,1.0,1.0,f,
ND,3800014,BISMARCK 1,49.0,GRIMSRUD ELEMENTARY SCHOOL,380001400049,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
ND,3800014,BISMARCK 1,50.0,HIGHLAND ACRES ELEMENTARY SCHOOL,380001400050,147.0,,0.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,51.0,HORIZON MIDDLE SCHOOL,380001400051,857.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,52.0,JEANNETTE MYHRE ELEMENTARY SCHOOL,380001400052,293.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,53.0,NORTHRIDGE ELEMENTARY SCHOOL,380001400053,621.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
ND,3800014,BISMARCK 1,54.0,PIONEER ELEMENTARY SCHOOL,380001400054,284.0,,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,f,
ND,3800014,BISMARCK 1,56.0,RITA MURPHY ELEMENTARY SCHOOL,380001400056,545.0,,0.0,11.0,7.0,0.0,0.0,0.0,0.0,4.0,2.0,f,
ND,3800014,BISMARCK 1,57.0,RIVERSIDE ELEMENTARY SCHOOL,380001400057,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,f,
ND,3800014,BISMARCK 1,58.0,ROOSEVELT ELEMENTARY SCHOOL,380001400058,160.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,59.0,SAXVIK ELEMENTARY SCHOOL,380001400059,256.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,60.0,SIMLE MIDDLE SCHOOL,380001400060,852.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,61.0,WACHTER MIDDLE SCHOOL,380001400061,800.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,62.0,WILL-MOORE ELEMENTARY SCHOOL,380001400062,392.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,727.0,ROBERT PLACE MILLER ELEMENTARY SCHOOL,380001400727,581.0,,0.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,739.0,SOUTH CENTRAL ALTERNATIVE SCHOOL,380001400739,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,810.0,PRAIRIE ROSE ELEMENTARY SCHOOL,380001400810,213.0,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,811.0,VICTOR SOLHEIM ELEMENTARY SCHOOL,380001400811,542.0,,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,821.0,CENTENNIAL ELEMENTARY SCHOOL,380001400821,550.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800014,BISMARCK 1,850.0,SUNRISE ELEMENTARY SCHOOL,380001400850,513.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800015,NAUGHTON 25,471.0,NAUGHTON ELEMENTARY SCHOOL,380001500471,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800016,STRASBURG 15,614.0,STRASBURG ELEMENTARY SCHOOL,380001600614,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800016,STRASBURG 15,615.0,STRASBURG HIGH SCHOOL,380001600615,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800017,LINTON PUBLIC SCHOOL DISTRICT 36,370.0,LINTON ELEMENTARY SCHOOL,380001700370,213.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800017,LINTON PUBLIC SCHOOL DISTRICT 36,371.0,LINTON HIGH SCHOOL,380001700371,118.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800018,CAVALIER 6,89.0,CAVALIER HIGH SCHOOL,380001800089,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800018,CAVALIER 6,94.0,CAVALIER ELEMENTARY SCHOOL,380001800094,318.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
ND,3800021,JAMESTOWN 1,307.0,ADOLESCENT & CHILD TREATMENT CENTER K-8,380002100307,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
