State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NE,3100002,DAVID CITY PUBLIC SCHOOLS,191.0,DAVID CITY ELEMENTARY SCHOOL,310000200191,241.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100002,DAVID CITY PUBLIC SCHOOLS,192.0,DAVID CITY SECONDARY SCHOOL,310000200192,307.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100002,DAVID CITY PUBLIC SCHOOLS,975.0,BELLWOOD ATTENDANCE CENTER,310000200975,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100003,EAST BUTLER PUBLIC SCHOOLS,916.0,ELEMENTARY SCHOOL AT BRAINARD,310000300916,107.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100003,EAST BUTLER PUBLIC SCHOOLS,917.0,ELEMENTARY SCHOOL AT DWIGHT,310000300917,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100003,EAST BUTLER PUBLIC SCHOOLS,918.0,HIGH SCHOOL AT BRAINARD,310000300918,173.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100003,EAST BUTLER PUBLIC SCHOOLS,1534.0,EAST BUTLER ELEMENTARY AT PRAGUE,310000301534,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100004,LAUREL-CONCORD PUBLIC SCHOOLS,1121.0,LAUREL-CONCORD ELEMENTARY SCH,310000401121,124.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100004,LAUREL-CONCORD PUBLIC SCHOOLS,1122.0,LAUREL-CONCORD HIGH SCHOOL,310000401122,102.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NE,3100004,LAUREL-CONCORD PUBLIC SCHOOLS,2195.0,LAUREL-CONCORD MIDDLE SCHOOL,310000402195,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
