State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NH,3300003,JOHN STARK REGIONAL SCHOOL DISTRICT,500.0,JOHN STARK REGIONAL HIGH SCHOOL,330000300500,748.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,f,
NH,3300015,LINCOLN-WOODSTOCK SAU OFFICE,99997.0,LIN-WOOD HIGH SCHOOL,330001599997,108.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300015,LINCOLN-WOODSTOCK SAU OFFICE,99998.0,LIN-WOOD MIDDLE SCHOOL,330001599998,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300015,LINCOLN-WOODSTOCK SAU OFFICE,99999.0,LIN-WOOD ELEMENTARY SCHOOL,330001599999,121.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300017,EXETER REGION COOP SCHOOL DISTRICT,106.0,EXETER HIGH SCHOOL,330001700106,1676.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300017,EXETER REGION COOP SCHOOL DISTRICT,107.0,COOPERATIVE MIDDLE SCHOOL,330001700107,1365.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300030,NORTH COUNTRY CHARTER ACADEMY,605.0,NORTH COUNTRY CHARTER ACADEMY (H),330003000605,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300031,SEACOAST CHARTER SCHOOL,606.0,SEACOAST CHARTER SCHOOL,330003100606,228.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300035,GORHAM RANDOLPH SHELBURNE COOP SCHOOL DISTRICT,47.0,GORHAM MIDDLE SCHOOL,330003500047,101.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300035,GORHAM RANDOLPH SHELBURNE COOP SCHOOL DISTRICT,141.0,EDWARD FENN SCHOOL,330003500141,195.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300035,GORHAM RANDOLPH SHELBURNE COOP SCHOOL DISTRICT,142.0,GORHAM HIGH SCHOOL,330003500142,155.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300036,COCHECO ARTS AND TECHNOLOGY ACADEMY,614.0,COCHECO ARTS AND TECHNOLOGY CHARTER ACADEMY,330003600614,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300039,SURRY VILLAGE CHARTER SCHOOL,617.0,SURRY VILLAGE CHARTER SCHOOL,330003900617,94.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300040,ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,678.0,ACADEMY FOR SCIENCE AND DESIGN CHARTER (M),330004000678,103.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300040,ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,684.0,ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),330004000684,303.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300042,STRONG FOUNDATIONS CHARTER SCHOOL,683.0,STRONG FOUNDATIONS CHARTER SCHOOL,330004200683,192.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300043,LEDYARD CHARTER ACADEMY,695.0,LEDYARD CHARTER ACADEMY,330004300695,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300045,FREMONT SAU OFFICE,99999.0,ELLIS SCHOOL,330004599999,440.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300048,GREAT BAY ELEARNING CHARTER SCHOOL,609.0,GREAT BAY ELEARNING CHARTER SCHOOL (H),330004800609,130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NH,3300048,GREAT BAY ELEARNING CHARTER SCHOOL,688.0,GREAT BAY ELEARNING CHARTER SCHOOL (M),330004800688,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
