State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NJ,3400004,SCH DIST OF THE CHATHAMS,6014.0,CHATHAM HIGH,340000406014,1154.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400004,SCH DIST OF THE CHATHAMS,6015.0,CHATHAM MIDDLE,340000406015,956.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400004,SCH DIST OF THE CHATHAMS,6016.0,LAFAYETTE ELEM,340000406016,695.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400004,SCH DIST OF THE CHATHAMS,6017.0,MILTON AVE,340000406017,392.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400004,SCH DIST OF THE CHATHAMS,6018.0,WASHINGTON AVE,340000406018,443.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400004,SCH DIST OF THE CHATHAMS,6019.0,SOUTHERN BOULVARD SCHOOL,340000406019,463.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400005,MORRIS-UNION JOINTURE COM,817.0,DEVEL L C  WARREN,340000500817,237.0,,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400005,MORRIS-UNION JOINTURE COM,6063.0,DEVEL L C  NEW PROVIDENCE,340000506063,85.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400006,ATLANTIC CTY SPEC SERV SD,695.0,ATLANTIC CO ELEM  MIDDLE,340000600695,204.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400006,ATLANTIC CTY SPEC SERV SD,697.0,ATLANTIC CO HIGH SCHOOL,340000600697,232.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400007,SOUTH BERGEN JOINTURE COM,81.0,MAYWOOD ANNEX,340000700081,113.0,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NJ,3400007,SOUTH BERGEN JOINTURE COM,83.0,MOONACHIE ANNEX,340000700083,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
