State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,101.0,RIO RANCHO ELEMENTARY,350001000101,690.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,650.0,PUESTA DEL SOL ELEMENTARY,350001000650,807.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,682.0,LINCOLN MIDDLE,350001000682,981.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,710.0,MARTIN KING JR ELEMENTARY,350001000710,876.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,736.0,ERNEST STAPLETON ELEMENTARY,350001000736,897.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,739.0,MOUNTAIN VIEW MIDDLE,350001000739,915.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,750.0,COLINAS DEL NORTE ELEMENTARY,350001000750,702.0,,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,761.0,EAGLE RIDGE MIDDLE,350001000761,840.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,779.0,RIO RANCHO HIGH,350001000779,2334.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,805.0,INDEPENDENCE HIGH SCHOOL,350001000805,223.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,864.0,VISTA GRANDE ELEMENTARY,350001000864,642.0,,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,865.0,RIO RANCHO MIDDLE SCHOOL,350001000865,1191.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,952.0,MAGGIE CORDOVA ELEMENTARY SCHOOL,350001000952,1029.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,953.0,SHINING STARS PRESCHOOL,350001000953,242.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,954.0,RIO RANCHO CYBER ACADEMY,350001000954,175.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,1024.0,V SUE CLEVELAND HIGH,350001001024,2196.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,1034.0,CIELO AZUL ELEMENTARY,350001001034,855.0,,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,1039.0,SANDIA VISTA ELEMENTARY,350001001039,519.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500010,RIO RANCHO PUBLIC SCHOOLS,30011.0,ENCHANTED HILLS ELEMENTARY,350001030011,681.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500013,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,980.0,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,350001300980,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500013,NM SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,99999.0,NMSBVI EARLY CHILDHOOD PROGRAM,350001399999,78.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500014,NM SCHOOL FOR THE DEAF,972.0,NM SCHOOL FOR THE DEAF,350001400972,96.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,1.0,ALAMOGORDO HIGH,350003000001,1589.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,2.0,BUENA VISTA ELEMENTARY,350003000002,289.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,3.0,CHAPARRAL MIDDLE,350003000003,677.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,4.0,HEIGHTS ELEMENTARY,350003000004,256.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,5.0,HIGH ROLLS MTN ELEMENTARY,350003000005,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,6.0,HOLLOMAN PRIMARY,350003000006,310.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,7.0,HOLLOMAN MIDDLE,350003000007,174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,8.0,LA LUZ ELEMENTARY,350003000008,296.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,10.0,NORTH ELEMENTARY,350003000010,344.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,11.0,OREGON ELEMENTARY,350003000011,311.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,12.0,SACRAMENTO ELEMENTARY,350003000012,215.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,13.0,SIERRA ELEMENTARY,350003000013,361.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,16.0,YUCCA ELEMENTARY,350003000016,586.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,378.0,HOLLOMAN INTERMEDIATE,350003000378,197.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,798.0,MOUNTAIN VIEW MIDDLE,350003000798,477.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500030,ALAMOGORDO PUBLIC SCHOOLS,799.0,ACADEMY DEL SOL ALT,350003000799,172.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,17.0,A  MONTOYA ELEMENTARY,350006000017,310.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,18.0,ACOMA ELEMENTARY,350006000018,216.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,19.0,JOHN ADAMS MIDDLE,350006000019,756.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,20.0,ADOBE ACRES ELEMENTARY,350006000020,532.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,21.0,ALAMEDA ELEMENTARY,350006000021,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NM,3500060,ALBUQUERQUE PUBLIC SCHOOLS,22.0,ALAMOSA ELEMENTARY,350006000022,691.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
