State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
NY,3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,4498.0,JAMES A GREEN HIGH SCHOOL,360000104498,218.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,4540.0,DOLGEVILLE ELEMENTARY SCHOOL,360000104540,290.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600001,DOLGEVILLE CENTRAL SCHOOL DISTRICT,5991.0,DOLGEVILLE MIDDLE SCHOOL,360000105991,286.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600002,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,4500.0,SAUQUOIT VALLEY HIGH SCHOOL,360000204500,352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600002,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,4541.0,SAUQUOIT VALLEY ELEMENTARY SCHOOL,360000204541,369.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600002,SAUQUOIT VALLEY CENTRAL SCHOOL DISTRICT,4761.0,SAUQUOIT VALLEY MIDDLE SCHOOL,360000204761,304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600003,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,4542.0,EDWARDS-KNOX ELEMENTARY SCHOOL,360000304542,323.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600003,EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,4543.0,EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,360000304543,257.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,4544.0,DRAPER MIDDLE SCHOOL,360000404544,773.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,4545.0,MOHONASEN SENIOR HIGH SCHOOL,360000404545,1043.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,4576.0,HERMAN L BRADT ELEMENTARY SCHOOL,360000404576,516.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600004,ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT,4577.0,PINEWOOD ELEMENTARY SCHOOL,360000404577,616.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,282.0,BROADALBIN-PERTH HIGH SCHOOL,360000500282,573.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,283.0,THE LEARNING COMMUNITY AT BROADALBIN-PERTH,360000500283,428.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,3206.0,BROADALBIN-PERTH MIDDLE SCHOOL,360000503206,437.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600005,BROADALBIN-PERTH CENTRAL SCHOOL DISTRICT,4421.0,BROADALBIN-PERTH INTERMEDIATE SCHOOL,360000504421,410.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600006,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,278.0,CHERRY VALLEY-SPRINGFIELD ELEMENTARY SCHOOL,360000600278,247.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600006,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,525.0,CHERRY VALLEY-SPRINGFIELD JUNIOR-SENIOR HIGH SCHOO,360000600525,299.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600007,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,1357.0,JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,360000701357,270.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600007,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,3911.0,JASPER-TROUPSBURG ELEMENTARY SCHOOL,360000703911,309.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,192.0,BELLPORT MIDDLE SCHOOL,360000800192,1012.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,193.0,BELLPORT SENIOR HIGH SCHOOL,360000800193,1343.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,194.0,BROOKHAVEN ELEMENTARY SCHOOL,360000800194,735.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
NY,3600008,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,195.0,FRANK P LONG INTERMEDIATE SCHOOL,360000800195,661.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
