State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
OH,3900001,OHIO SCHOOL FOR THE DEAF,4681.0,OHIO SCHOOL FOR THE DEAF Grades 9-12,390000104681,81.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900001,OHIO SCHOOL FOR THE DEAF,4682.0,OHIO SCHOOL FOR THE DEAF Grades PK-5,390000104682,59.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900001,OHIO SCHOOL FOR THE DEAF,4683.0,OHIO SCHOOL FOR THE DEAF Grades 6-8,390000104683,32.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900002,OHIO STATE SCHOOL FOR THE BLIN,4685.0,STATE SCHOOL FOR THE BLIND,390000204685,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900013,NORTH POINT EDUCATIONAL SERVICE CENTER,99998.0,NORTHERN OHIO JUVENILE COMMUNITY CORREC. FACILITY,390001399998,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900013,NORTH POINT EDUCATIONAL SERVICE CENTER,99999.0,ERIE COUNTY JUVENILE DETENION CENTER,390001399999,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900017,YOUNGSTOWN COMMUNITY SCHOOL,1509.0,YOUNGSTOWN COMMUNITY SCHOOL,390001701509,331.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900019,CONSTELLATION SCHOOLS: OBCE,1514.0,CONSTELLATION SCHOOLS: OLD BROOKLYN COMMUNITY ELEM,390001901514,317.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900022,AUTISM MODEL SCHOOL,1520.0,AUTISM MODEL SCHOOL,390002201520,97.0,,0.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900025,HOPE ACADEMY CHAPELSIDE CAMPUS,1543.0,HOPE ACADEMY CHAPELSIDE CAMPUS,390002501543,497.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900027,HOPE ACADEMY UNIVERSITY,1572.0,HOPE ACADEMY UNIVERSITY,390002701572,419.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900028,HOPE ACADEMY BROWN ST CAMPUS,1573.0,HOPE ACADEMY BROWN ST CAMPUS,390002801573,322.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900029,CITY DAY COMMUNITY SCHOOL,1578.0,CITY DAY COMMUNITY SCHOOL,390002901578,160.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900032,CITIZENS ACADEMY,2833.0,CITIZENS ACADEMY,390003202833,411.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900033,"EDGE ACADEMY, THE",2834.0,"EDGE ACADEMY, THE",390003302834,269.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900036,MILLENNIUM COMMUNITY SCHOOL,2838.0,MILLENNIUM COMMUNITY SCHOOL,390003602838,591.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900038,SUMMIT ACADEMY COMMUNITY SCHOOL FOR ALT LEARNERS OF AKRON,2844.0,SUMMIT ACADEMY COMMUNITY SCHOOL FOR ALT LEARNERS O,390003802844,95.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900040,HORIZON SCIENCE ACADEMY CLEVELAND,2939.0,HORIZON SCIENCE ACADEMY CLEVELAND,390004002939,488.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900042,HORIZON SCIENCE ACADEMY COLUMBUS,2978.0,HORIZON SCIENCE ACADEMY COLUMBUS,390004202978,385.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900043,RIVERSIDE ACADEMY,2979.0,RIVERSIDE ACADEMY,390004302979,366.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900047,RICHARD ALLEN ACADEMY,2997.0,RICHARD ALLEN ACADEMY,390004702997,118.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900050,LIFE SKILLS CTR OF YOUNGSTOWN,3011.0,LIFE SKILLS CTR OF YOUNGSTOWN,390005003011,209.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900051,HOPE ACADEMY LINCOLN PARK,3015.0,HOPE ACADEMY LINCOLN PARK,390005103015,256.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900052,LIFE SKILLS CTR OF CLEVELAND,3027.0,LIFE SKILLS CTR OF CLEVELAND,390005203027,217.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900053,LIFE SKILLS CENTER OF AKRON,3054.0,LIFE SKILLS CENTER OF AKRON,390005303054,171.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900056,TOLEDO SCHOOL FOR THE ARTS,3084.0,TOLEDO SCHOOL FOR THE ARTS,390005603084,569.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900057,DAYTON LEADERSHIP ACADEMIES-DAYTON LIBERTY CAMPUS,3090.0,DAYTON LEADERSHIP ACADEMIES-DAYTON LIBERTY CAMPUS,390005703090,320.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900061,HOPE ACADEMY BROADWAY CAMPUS,99999.0,HOPE ACADEMY BROADWAY CAMPUS,390006199999,274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900065,"INTERGENERATIONAL SCHOOL, THE",3248.0,"INTERGENERATIONAL SCHOOL, THE",390006503248,229.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900068,CONSTELLATION SCHOOLS: PARMA COMMUNITY,3315.0,CONSTELLATION SCHOOLS: PARMA COMMUNITY,390006803315,970.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900071,SUMMIT ACADEMY-CANTON,3346.0,SUMMIT ACADEMY-CANTON,390007103346,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900072,T.C.P. WORLD ACADEMY,3360.0,T.C.P. WORLD ACADEMY,390007203360,471.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900073,RICHARD ALLEN PREPARATORY,3361.0,RICHARD ALLEN PREPARATORY,390007303361,224.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900075,QUEST ACADEMY COMMUNITY,3368.0,QUEST ACADEMY COMMUNITY,390007503368,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900077,LIGHTHOUSE COMMUNITY SCH INC,3387.0,LIGHTHOUSE COMMUNITY SCH INC,390007703387,43.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900079,ELECTRONIC CLASSROOM OF TOMORROW,3420.0,ELECTRONIC CLASSROOM OF TOMORROW,390007903420,10738.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900080,"GRAHAM SCHOOL, THE",3428.0,"GRAHAM SCHOOL, THE",390008003428,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900081,CORNERSTONE ACADEMY COMMUNITY,3441.0,CORNERSTONE ACADEMY COMMUNITY,390008103441,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900083,DAYTON LEADERSHIP ACADEMIES-DAYTON VIEW CAMPUS,3762.0,DAYTON LEADERSHIP ACADEMIES-DAYTON VIEW CAMPUS,390008303762,478.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900084,LIFE SKILLS OF TRUMBULL COUNTY,3786.0,LIFE SKILLS OF TRUMBULL COUNTY,390008403786,253.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900086,LIFE SKILLS CTR OF CINCINNATI,3447.0,LIFE SKILLS CTR OF CINCINNATI,390008603447,162.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900089,EAST END COMM HERITAGE SCHOOL,3463.0,EAST END COMM HERITAGE SCHOOL,390008903463,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,B
OH,3900092,MADISON-CHAMPAIGN ESC,99997.0,CHAMPAIGN COUNTY ALTERNATIVE SCHOOL,390009299997,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900092,MADISON-CHAMPAIGN ESC,99998.0,LAWNVIEW CHILD AND FAMILY CENTER,390009299998,152.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900092,MADISON-CHAMPAIGN ESC,99999.0,MAC A CHEEK LEARNING CENTER,390009299999,62.0,,0.0,34.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900094,MONROE LOCAL SCHOOL DISTRICT,3602.0,MONROE HIGH SCHOOL,390009403602,610.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900094,MONROE LOCAL SCHOOL DISTRICT,3607.0,MONROE JUNIOR HIGH SCHOOL,390009403607,356.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900094,MONROE LOCAL SCHOOL DISTRICT,3635.0,MONROE ELEMENTARY SCHOOL,390009403635,787.0,,0.0,36.0,103.0,0.0,0.0,0.0,0.0,0.0,5.0,f,
OH,3900094,MONROE LOCAL SCHOOL DISTRICT,5409.0,MONROE PRIMARY SCHOOL,390009405409,671.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900096,SUMMIT ACDY COMM SCHL FOR ALTERNATIVE LEARNERS OF MIDDLETOWN,3913.0,SUMMIT ACDY COMM SCHL FOR ALTERNATIVE LEARNERS OF,390009603913,106.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900097,SUMMIT ACADEMY-XENIA,4036.0,SUMMIT ACADEMY-XENIA,390009704036,113.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900098,SUMMIT ACADEMY MIDDLE SCHOOL-AKRON,4167.0,SUMMIT ACADEMY MIDDLE SCHOOL-AKRON,390009804167,93.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900099,SPRINGFIELD ACAD OF EXCELLENCE,4014.0,SPRINGFIELD ACAD OF EXCELLENCE,390009904014,204.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,f,
OH,3900100,LIFE SKILLS CENTER-SPRINGFIELD,3820.0,LIFE SKILLS CENTER-SPRINGFIELD,390010003820,135.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900101,LIFE SKILLS CENTER-MIDDLETOWN,3860.0,LIFE SKILLS CENTER-MIDDLETOWN,390010103860,202.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900102,CONSTELLATION SCHOOLS: LORAIN COMMUNITY ELEMENTARY,4160.0,CONSTELLATION SCHOOLS: LORAIN COMMUNITY ELEMENTARY,390010204160,186.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900103,CONSTELLATION SCHOOLS: ELYRIA COMMUNITY ELEMENTARY,4054.0,CONSTELLATION SCHOOLS: ELYRIA COMMUNITY ELEMENTARY,390010304054,391.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
OH,3900104,YOUTHBUILD COLUMBUS COMMUNITY,4157.0,YOUTHBUILD COLUMBUS COMMUNITY,390010404157,252.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900105,WESTPARK COMMUNITY ELEMENTARY,4154.0,WESTPARK COMMUNITY ELEMENTARY,390010504154,312.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900106,DOHN COMMUNITY,4067.0,DOHN COMMUNITY,390010604067,169.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900107,WASHINGTON PARK COMMUNITY,4153.0,WASHINGTON PARK COMMUNITY,390010704153,233.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900109,SUMMIT ACADEMY-LORAIN,4106.0,SUMMIT ACADEMY-LORAIN,390010904106,136.0,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900113,PHOENIX COMMUNITY LEARNING CTR,3911.0,PHOENIX COMMUNITY LEARNING CTR,390011303911,361.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900117,THE AUTISM ACADEMY OF LEARNING,4155.0,THE AUTISM ACADEMY OF LEARNING,390011704155,56.0,,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900118,TRECA DIGITAL ACADEMY,4148.0,TRECA DIGITAL ACADEMY,390011804148,1997.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900119,HOPE ACADEMY CUYAHOGA CAMPUS,3854.0,HOPE ACADEMY CUYAHOGA CAMPUS,390011903854,447.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900120,EAGLE ACADEMY,4066.0,EAGLE ACADEMY,390012004066,441.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900121,HAMILTON CNTY MATH & SCIENCE,3912.0,HAMILTON CNTY MATH & SCIENCE,390012103912,483.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OH,3900123,SCIOTOVILLE,3957.0,SCIOTOVILLE,390012303957,318.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
