State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
OK,4000013,TIMBERLAKE,1028.0,TIMBERLAKE ES,400001301028,184.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000013,TIMBERLAKE,1101.0,TIMBERLAKE HS,400001301101,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000014,BURNS FLAT-DILL CITY,1566.0,WILL ROGERS ES,400001401566,576.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000014,BURNS FLAT-DILL CITY,1582.0,BURNS FLAT-DILL CITY HS,400001401582,151.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000014,BURNS FLAT-DILL CITY,99999.0,BURNS FLAT-DILL CITY ALTERNATIVE SCHOOL,400001499999,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000015,THOMAS-FAY-CUSTER UNIFIED DIST,1630.0,THOMAS ES,400001501630,262.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000015,THOMAS-FAY-CUSTER UNIFIED DIST,1641.0,THOMAS-FAY-CUSTER UNIFIED JHS,400001501641,96.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000015,THOMAS-FAY-CUSTER UNIFIED DIST,1659.0,THOMAS-FAY-CUSTER UNIFIED HS,400001501659,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000020,FRONTIER,25620.0,FRONTIER ES,400002025620,255.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000020,FRONTIER,29709.0,FRONTIER HS,400002029709,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000032,HYDRO-EAKLY,2283.0,HYDRO-EAKLY ES,400003202283,261.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000032,HYDRO-EAKLY,2286.0,HYDRO-EAKLY HS,400003202286,139.0,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,f,
OK,4000032,HYDRO-EAKLY,2357.0,HYDRO-EAKLY MS,400003202357,94.0,,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,f,
OK,4000033,KEYS,2299.0,KEYS ES,400003302299,518.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000033,KEYS,2300.0,KEYS HS,400003302300,359.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000063,LAKESIDE SCHOOL,2343.0,LAKESIDE SCHOOL,400006302343,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000066,SOUTHWEST TECHNOLOGY CENTER,99998.0,SOUTHWEST ALTERNATIVE COOPERATIVE EDUCATION,400006699998,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000067,PIONEER TECHNOLOGY CENTER,99993.0,Pioneer Technology Center Share Program,400006799993,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000068,CHISHOLM TRAIL TECHNOLOGY CTR,99994.0,"CHISHOLM TRAIL TECHNOLOGY CENTER, V-26",400006899994,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000075,OKLAHOMA SCHOOL FOR THE DEAF,2347.0,OKLAHOMA SCHOOL FOR THE DEAF- Elementary,400007502347,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000075,OKLAHOMA SCHOOL FOR THE DEAF,2348.0,OKLAHOMA SCHOOL FOR THE DEAF- Secondary,400007502348,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000076,PARKVIEW-OK. SCH FOR THE BLIND,2349.0,PARKVIEW-OK. SCH FOR THE BLIND,400007602349,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OK,4000076,PARKVIEW-OK. SCH FOR THE BLIND,2350.0,PARKVIEW-OK. SCH FOR THE BLIND,400007602350,56.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
