State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
OR,4100003,FALLS CITY SD 57,1061.0,FALLS CITY ELEMENTARY SCHOOL,410000301061,111.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100003,FALLS CITY SD 57,1062.0,FALLS CITY HIGH SCHOOL,410000301062,51.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100009,OREGON DEPARTMENT OF EDUCATION,1592.0,FOUR RIVERS COMMUNITY SCHOOL,410000901592,247.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100009,OREGON DEPARTMENT OF EDUCATION,1734.0,SOUTHWEST CHARTER SCHOOL,410000901734,181.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100009,OREGON DEPARTMENT OF EDUCATION,1784.0,THE IVY SCHOOL,410000901784,151.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100009,OREGON DEPARTMENT OF EDUCATION,99999.0,BPA CHARTER SCHOOL,410000999999,124.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100014,VALE SD 84,748.0,VALE ELEMENTARY SCHOOL,410001400748,412.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100014,VALE SD 84,754.0,WILLOWCREEK ELEMENTARY SCHOOL,410001400754,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100014,VALE SD 84,761.0,VALE HIGH SCHOOL,410001400761,249.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100014,VALE SD 84,1026.0,VALE MIDDLE SCHOOL,410001401026,151.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100015,GERVAIS SD 1,821.0,BROOKS ELEMENTARY SCHOOL,410001500821,310.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100015,GERVAIS SD 1,831.0,GERVAIS MIDDLE SCHOOL,410001500831,253.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100015,GERVAIS SD 1,853.0,GERVAIS HIGH SCHOOL,410001500853,328.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100015,GERVAIS SD 1,1034.0,ELDRIEDGE ELEMENTARY SCHOOL,410001501034,168.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100015,GERVAIS SD 1,1588.0,DOUGLAS AVENUE ALTERNATIVE SCHOOL,410001501588,45.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100016,YAMHILL CARLTON SD 1,1266.0,YAMHILL CARLTON ELEMENTARY SCHOOL,410001601266,409.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100016,YAMHILL CARLTON SD 1,1288.0,YAMHILL CARLTON HIGH SCHOOL,410001601288,404.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100016,YAMHILL CARLTON SD 1,1730.0,YAMHILL CARLTON INTERMEDIATE SCHOOL,410001601730,369.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100019,HARRISBURG SD 7J,698.0,HARRISBURG ELEMENTARY SCHOOL,410001900698,397.0,,0.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,f,
OR,4100019,HARRISBURG SD 7J,731.0,HARRISBURG HIGH SCHOOL,410001900731,283.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100019,HARRISBURG SD 7J,1422.0,HARRISBURG MIDDLE SCHOOL,410001901422,235.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100020,NORTH SANTIAM SD 29J,693.0,MARI-LINN ELEMENTARY SCHOOL,410002000693,151.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100020,NORTH SANTIAM SD 29J,765.0,SUBLIMITY ELEMENTARY SCHOOL,410002000765,338.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100020,NORTH SANTIAM SD 29J,833.0,STAYTON ELEMENTARY SCHOOL,410002000833,302.0,,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100020,NORTH SANTIAM SD 29J,834.0,STAYTON MIDDLE SCHOOL,410002000834,589.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100020,NORTH SANTIAM SD 29J,854.0,STAYTON HIGH SCHOOL,410002000854,733.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100021,SOUTH WASCO COUNTY SD 1,1166.0,MAUPIN ELEMENTARY SCHOOL,410002101166,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100021,SOUTH WASCO COUNTY SD 1,1167.0,SOUTH WASCO COUNTY HIGH SCHOOL,410002101167,102.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100022,NORTHWEST REGIONAL ESD,99990.0,DAY TREATMENT PROGRAM,410002299990,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100022,NORTHWEST REGIONAL ESD,99997.0,PACE,410002299997,62.0,,0.0,36.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100022,NORTHWEST REGIONAL ESD,99998.0,LEVI ANDERSON,410002299998,101.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,209.0,TOBIAS ELEMENTARY SCHOOL,410002300209,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1168.0,WEST UNION ELEMENTARY SCHOOL,410002301168,307.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1169.0,BROOKWOOD ELEMENTARY SCHOOL,410002301169,419.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1171.0,EASTWOOD ELEMENTARY SCHOOL,410002301171,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1172.0,W VERNE MCKINNEY ELEMENTARY SCHOOL,410002301172,518.0,,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1173.0,MOOBERRY ELEMENTARY SCHOOL,410002301173,487.0,,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1175.0,W L HENRY ELEMENTARY SCHOOL,410002301175,495.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
OR,4100023,HILLSBORO SD 1J,1199.0,BUTTERNUT CREEK ELEMENTARY SCHOOL,410002301199,422.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
