State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
PA,4200002,LANCASTER COUNTY ACADEMY,95.0,LANCASTER COUNTY ACADEMY,420000200095,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200003,SUSQUEHANNA COUNTY CTC,7138.0,SUSQUEHANNA COUNTY CTC,420000307138,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200011,KEYSTONE EDUCATION CENTER CS,272.0,KEYSTONE EDUCATION CENTER CS,420001100272,231.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200012,CHESTER CO FAMILY ACADEMY CS,311.0,CHESTER CO FAMILY ACADEMY CS,420001200311,53.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200013,COMMUNITY ACADEMY OF PHILADELPHIA CS,318.0,COMMUNITY ACADEMY OF PHILADELPHIA CS,420001300318,1214.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200014,PHILADELPHIA HARAMBEE INST CS,319.0,PHILADELPHIA HARAMBEE INST CS,420001400319,448.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200015,WORLD COMMUNICATIONS CS,322.0,WORLD COMMUNICATIONS CS,420001500322,433.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200016,YOUTH BUILD PHILA CS,324.0,YOUTH BUILD PHILA CS,420001600324,270.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200017,MANCHESTER ACADEMIC CS,336.0,MANCHESTER ACADEMIC CS,420001700336,257.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200018,NORTHSIDE URBAN PATHWAYS CS,337.0,NORTHSIDE URBAN PATHWAYS CS,420001800337,340.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200019,URBAN LEAGUE OF GREATER PITTSBURGH CS,338.0,URBAN LEAGUE OF GREATER PITTSBURGH CS,420001900338,223.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200020,ROBERT BENJAMIN WILEY COMMUNITY CS,342.0,ROBERT BENJAMIN WILEY COMMUNITY CS,420002000342,358.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
PA,4200021,"DR ROBERT KETTERER CS, INC.",344.0,"DR ROBERT KETTERER CS, INC.",420002100344,201.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,t,
PA,4200022,CRESSON SECURE TREATMENT UNIT,348.0,CRESSON SECURE TREATMENT UNIT,420002200348,57.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
