State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
RI,4400001,R.I. SCH FOR THE DEAF,380.0,RHODE ISLAND SCHOOL FOR THE DEAF,440000100380,71.0,,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400004,DAVIES CAREER AND TECH,379.0,WM. M. DAVIES JR. CAREER-TECHNICAL  HIGH SCHOOL,440000400379,853.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400005,URBAN COLLABORATIVE,271.0,URBAN COLLABORATIVE ACCELERATED PROGRAM,440000500271,145.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400006,THE LEARNING COMMUNITY,326.0,THE LEARNING COMMUNITY CHARTER SCHOOL,440000600326,547.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
RI,4400008,BEACON CHARTER SCHOOL,297.0,BEACON CHARTER SCHOOL,440000800297,226.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400009,DCYF,411.0,"OCEAN TIDES, INC.",440000900411,121.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400009,DCYF,99998.0,RHODE ISLAND TRAINING SCHOOL FOR YOUTH,440000999998,120.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
RI,4400014,SEGUE INSTITUTE FOR LEARNING,472.0,SEGUE INSTITUTE FOR LEARNING,440001400472,203.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400015,"BLACKSTONE VALLEY PREP, A RHODE ISLAND MAYORAL ACA",473.0,BLACKSTONE VALLEY PREP ELEMENTARY SCHOOL 1,440001500473,274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400015,"BLACKSTONE VALLEY PREP, A RHODE ISLAND MAYORAL ACA",475.0,BLACKSTONE VALLEY PREP MIDDLE SCHOOL 1,440001500475,202.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400015,"BLACKSTONE VALLEY PREP, A RHODE ISLAND MAYORAL ACA",99999.0,BLACKSTONE VALLEY PREP ELEMENTARY SCHOOL 2,440001599999,81.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,f,
RI,4400017,THE GREENE SCHOOL,477.0,THE GREENE SCHOOL,440001700477,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400018,TRINITY ACADEMY FOR THE PERFORMING ARTS,478.0,TRINITY ACADEMY FOR THE PERFORMING ARTS,440001800478,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,1.0,BARRINGTON HIGH SCHOOL,440003000001,1081.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,2.0,BARRINGTON MIDDLE SCHOOL,440003000002,792.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,3.0,HAMPDEN MEADOWS SCHOOL,440003000003,538.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,4.0,NAYATT SCHOOL,440003000004,346.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,5.0,SOWAMS ELEMENTARY SCHOOL,440003000005,249.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400030,BARRINGTON,6.0,PRIMROSE HILL SCHOOL,440003000006,331.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400031,HIGHLANDER,455.0,HIGHLANDER CHARTER SCHOOL,440003100455,296.0,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,f,
RI,4400032,PAUL CUFFEE CHARTER SCH,220.0,PAUL CUFFEE CHARTER SCHOOL,440003200220,619.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
RI,4400033,KINGSTON HILL ACADEMY,225.0,KINGSTON HILL ACADEMY,440003300225,181.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400034,INTERNATIONAL CHARTER,226.0,INTERNATIONAL CHARTER SCHOOL,440003400226,340.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400035,THE COMPASS SCHOOL,245.0,THE COMPASS SCHOOL,440003500245,165.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400036,BLACKSTONE ACADEMY,246.0,BLACKSTONE ACADEMY CHARTER SCHOOL,440003600246,167.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,f,
RI,4400065,BRISTOL WARREN,9.0,MT. HOPE HIGH SCHOOL,440006500009,1095.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400065,BRISTOL WARREN,12.0,GUITERAS SCHOOL,440006500012,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400065,BRISTOL WARREN,16.0,ROCKWELL SCHOOL,440006500016,302.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400065,BRISTOL WARREN,278.0,HUGH COLE SCHOOL,440006500278,696.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400065,BRISTOL WARREN,282.0,KICKEMUIT MIDDLE SCHOOL,440006500282,789.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400065,BRISTOL WARREN,468.0,COLT ANDREWS SCHOOL,440006500468,440.0,,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
RI,4400090,BURRILLVILLE,18.0,AUSTIN T. LEVY SCHOOL,440009000018,344.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400090,BURRILLVILLE,19.0,BURRILLVILLE HIGH SCHOOL,440009000019,728.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400090,BURRILLVILLE,22.0,WILLIAM L. CALLAHAN SCHOOL,440009000022,361.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400090,BURRILLVILLE,57.0,STEERE FARM ELEMENTARY SCHOOL,440009000057,474.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400090,BURRILLVILLE,383.0,BURRILLVILLE MIDDLE SCHOOL,440009000383,554.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400120,CENTRAL FALLS,24.0,DR. EARL F. CALCUTT MIDDLE SCHOOL,440012000024,434.0,,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400120,CENTRAL FALLS,25.0,CAPT. G. HAROLD HUNT SCHOOL,440012000025,412.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,f,
RI,4400120,CENTRAL FALLS,26.0,CENTRAL FALLS SENIOR HIGH SCHOOL,440012000026,813.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400120,CENTRAL FALLS,27.0,ELLA RISK SCHOOL,440012000027,468.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400120,CENTRAL FALLS,28.0,MARGARET I. ROBERTSON SCHOOL,440012000028,201.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400120,CENTRAL FALLS,385.0,VETERANS MEMORIAL ELEMENTARY,440012000385,359.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,f,
RI,4400150,CHARIHO,29.0,CHARIHO REGIONAL HIGH SCHOOL,440015000029,1188.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400150,CHARIHO,30.0,CHARLESTOWN ELEMENTARY SCHOOL,440015000030,322.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,f,
RI,4400150,CHARIHO,122.0,ASHAWAY ELEMENTARY SCHOOL,440015000122,219.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400150,CHARIHO,251.0,RICHMOND ELEMENTARY SCHOOL,440015000251,463.0,,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400150,CHARIHO,286.0,THE R.Y.S.E. SCHOOL,440015000286,47.0,,0.0,42.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,f,
RI,4400150,CHARIHO,349.0,HOPE VALLEY ELEMENTARY SCHOOL,440015000349,246.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400150,CHARIHO,386.0,CHARIHO REGIONAL MIDDLE SCHOOL,440015000386,1010.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,31.0,BLACKROCK SCHOOL,440021000031,448.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,32.0,COVENTRY HIGH SCHOOL,440021000032,1656.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,34.0,WASHINGTON OAK SCHOOL,440021000034,559.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,35.0,HOPKINS HILL SCHOOL,440021000035,256.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,41.0,WESTERN COVENTRY SCHOOL,440021000041,480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,365.0,TIOGUE SCHOOL,440021000365,548.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400210,COVENTRY,465.0,ALAN SHAWN FEINSTEIN MIDDLE SCHOOL OF COVENTRY,440021000465,1211.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,7.0,HOPE HIGHLANDS ELEMENTARY SCHOOL,440024000007,414.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,42.0,ARLINGTON SCHOOL,440024000042,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,43.0,CHESTER W. BARROWS SCHOOL,440024000043,241.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,44.0,CRANSTON HIGH SCHOOL EAST,440024000044,1278.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,45.0,CRANSTON HIGH SCHOOL WEST,440024000045,1206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,46.0,DANIEL D. WATERMAN SCHOOL,440024000046,273.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,47.0,EDEN PARK SCHOOL,440024000047,345.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,48.0,EDGEWOOD HIGHLAND SCHOOL,440024000048,259.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,49.0,EDWARD S. RHODES SCHOOL,440024000049,274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,50.0,GARDEN CITY SCHOOL,440024000050,324.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
RI,4400240,CRANSTON,51.0,GLADSTONE STREET SCHOOL,440024000051,557.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
