State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,63.0,LEE HIGH,450000100063,182.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,148.0,TRENTON HIGH,450000100148,231.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,238.0,TURBEVILLE HIGH,450000100238,548.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,255.0,TYGER RIVER HIGH,450000100255,206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,258.0,STEVENSON HIGH,450000100258,128.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,266.0,RIDGELAND HIGH,450000100266,96.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,1376.0,MACDOUGALL HIGH,450000101376,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,1378.0,SARA BABB HIGH,450000101378,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,1413.0,KIRKLAND INSTITUTION,450000101413,282.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500001,PALMETTO UNIFIED SCHOOL DISTRICT N04,1423.0,WATEREE RIVER HIGH,450000101423,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500002,DORCHESTER 04,435.0,HARLEYVILLE-RIDGEVILLE ELEMENTARY,450000200435,433.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500002,DORCHESTER 04,439.0,ST. GEORGE MIDDLE,450000200439,314.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500002,DORCHESTER 04,444.0,WILLIAM MEMORIAL ELEMENTARY,450000200444,676.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500002,DORCHESTER 04,445.0,WOODLAND HIGH,450000200445,618.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500002,DORCHESTER 04,948.0,CLAY HILL MIDDLE,450000200948,161.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500003,FELTON LAB SCH SC H24,1401.0,FELTON LABORATORY,450000301401,122.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500004,SC SCHOOL FOR THE DEAF AND THE BLIND,1226.0,SC SCHOOL FOR THE BLIND HIGH SCHOOL,450000401226,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500004,SC SCHOOL FOR THE DEAF AND THE BLIND,1227.0,SC SCHOOL FOR THE DEAF HIGH SCHOOL,450000401227,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500004,SC SCHOOL FOR THE DEAF AND THE BLIND,1228.0,SC SCHOOL FOR THE DEAF ELEMENTARY/MS,450000401228,50.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500004,SC SCHOOL FOR THE DEAF AND THE BLIND,1246.0,SC SCHOOL FOR THE BLIND ELEMENTARY/MS,450000401246,48.0,,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500004,SC SCHOOL FOR THE DEAF AND THE BLIND,1402.0,CEDAR SPRINGS ACADEMY,450000401402,90.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500011,SPARTANBURG 82,991.0,H. B. SWOFFORD CAREER CENTER,450001100991,1124.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500012,MARION 07,801.0,BRITTON'S NECK ELEMENTARY,450001200801,324.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500012,MARION 07,1183.0,CREEK BRIDGE HIGH,450001201183,364.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,2.0,JOHN C. CALHOUN ELEMENTARY,450069000002,208.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,10.0,WRIGHT MIDDLE,450069000010,444.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,11.0,ABBEVILLE HIGH,450069000011,552.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,12.0,DIXIE HIGH,450069000012,403.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,65.0,CHEROKEE TRAIL ELEMENTARY,450069000065,437.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,66.0,DIAMOND HILL ELEMENTARY,450069000066,316.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,71.0,LONG CANE PRIMARY,450069000071,444.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500690,ABBEVILLE 60,1379.0,WESTWOOD ELEMENTARY,450069001379,372.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,16.0,BELVEDERE ELEMENTARY,450072000016,622.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,18.0,BYRD ELEMENTARY,450072000018,752.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,19.0,J. D. LEVER ELEMENTARY,450072000019,608.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,20.0,CLEARWATER ELEMENTARY,450072000020,429.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,21.0,BUSBEE CORBETT ELEMENTARY MIDDLE,450072000021,766.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,23.0,EAST AIKEN ELEMENTARY SCHOOL OF THE ARTS,450072000023,596.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,25.0,GLOVERVILLE ELEMENTARY,450072000025,350.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,26.0,GREENDALE ELEMENTARY,450072000026,409.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,27.0,HAMMOND HILL ELEMENTARY,450072000027,786.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,30.0,MILLBROOK ELEMENTARY,450072000030,628.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,31.0,NORTH AIKEN ELEMENTARY/PINECREST ANNEX,450072000031,544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,32.0,NORTH AUGUSTA ELEMENTARY,450072000032,729.0,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
SC,4500720,AIKEN 01,34.0,RIDGE SPRING MONETTA ELEMENTARY/MIDDLE,450072000034,643.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,40.0,WARRENVILLE ELEMENTARY,450072000040,482.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,45.0,CHUKKER CREEK ELEMENTARY,450072000045,844.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,46.0,AIKEN HIGH,450072000046,1425.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,50.0,PAUL KNOX MIDDLE,450072000050,634.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,54.0,NORTH AUGUSTA MIDDLE,450072000054,644.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,55.0,NORTH AUGUSTA HIGH,450072000055,1494.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,f,
SC,4500720,AIKEN 01,56.0,RIDGE SPRING MONETTA HIGH,450072000056,251.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,57.0,WAGENER-SALLEY HIGH,450072000057,297.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,73.0,AIKEN MIDDLE,450072000073,599.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,682.0,LLOYD-KENNEDY CHARTER,450072000682,94.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,684.0,MIDLAND VALLEY PREPARATORY,450072000684,174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,940.0,AIKEN PERFORMING ARTS ACADEMY CHARTER,450072000940,69.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,1007.0,MOSSY CREEK ELEMENTARY,450072001007,688.0,,0.0,57.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,1189.0,AIKEN ELEMENTARY,450072001189,798.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,1193.0,JEFFERSON ELEMENTARY,450072001193,536.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
SC,4500720,AIKEN 01,1194.0,LANGLEY-BATH-CLEARWATER MIDDLE,450072001194,546.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
SC,4500720,AIKEN 01,1196.0,LEAVELLE MCCAMPBELL MIDDLE,450072001196,473.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,1197.0,M. B. KENNEDY MIDDLE,450072001197,936.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SC,4500720,AIKEN 01,1198.0,MIDLAND VALLEY HIGH,450072001198,1185.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
