State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
SD,4600002,MILBANK SCHOOL DISTRICT 25-4,423.0,KOCH ELEMENTARY - 03,460000200423,352.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600002,MILBANK SCHOOL DISTRICT 25-4,424.0,MILBANK HIGH SCHOOL - 01,460000200424,326.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600002,MILBANK SCHOOL DISTRICT 25-4,425.0,MILBANK MIDDLE SCHOOL - 02,460000200425,230.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600003,WILMOT SCHOOL DISTRICT 54-7,757.0,WILMOT ELEMENTARY - 02,460000300757,99.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600003,WILMOT SCHOOL DISTRICT 54-7,758.0,WILMOT HIGH SCHOOL - 01,460000300758,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600003,WILMOT SCHOOL DISTRICT 54-7,872.0,WILMOT MIDDLE SCHOOL - 03,460000300872,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600025,HOWARD SCHOOL DISTRICT 48-3,304.0,HOWARD ELEMENTARY - 02,460002500304,164.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600025,HOWARD SCHOOL DISTRICT 48-3,305.0,HOWARD HIGH SCHOOL - 01,460002500305,106.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600025,HOWARD SCHOOL DISTRICT 48-3,913.0,HOWARD JR. HIGH - 05,460002500913,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600025,HOWARD SCHOOL DISTRICT 48-3,1161.0,SHANNON COLONY ELEMENTARY - 08,460002501161,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600027,EAST DAKOTA EDUCATIONAL COOPERATIVE,983.0,HIGH IMPACT/CAREER ACADEMY - 01,460002700983,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600027,EAST DAKOTA EDUCATIONAL COOPERATIVE,1316.0,TRANSITION ADVANTAGE - 03,460002701316,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600027,EAST DAKOTA EDUCATIONAL COOPERATIVE,99998.0,MCCROSSAN BOYS RANCH,460002799998,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600027,EAST DAKOTA EDUCATIONAL COOPERATIVE,99999.0,CHAMBERLAIN ACADEMY,460002799999,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600028,ALCESTER-HUDSON SCHOOL DISTRICT 61-1,13.0,ALCESTER-HUDSON ELEMENTARY - 04,460002800013,206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600028,ALCESTER-HUDSON SCHOOL DISTRICT 61-1,14.0,ALCESTER-HUDSON HIGH SCHOOL - 01,460002800014,96.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600028,ALCESTER-HUDSON SCHOOL DISTRICT 61-1,874.0,ALCESTER-HUDSON JR. HIGH - 03,460002800874,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600029,SD SCH FOR THE BLIND & VISUALLY IMPAIRED,253.0,SD SD-VI ELEM,460002900253,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600029,SD SCH FOR THE BLIND & VISUALLY IMPAIRED,258.0,SD SB-VI HI SCH,460002900258,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600035,SD STATE TREATMENT AND REHABILITATION,1105.0,STAR EVERGREEN HIGH SCH,460003501105,4.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
SD,4600035,SD STATE TREATMENT AND REHABILITATION,1232.0,STAR EVERGREEN JR HI,460003501232,39.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
SD,4600036,DEUEL SCHOOL DISTRICT 19-4,1010.0,DEUEL HIGH SCHOOL - 01,460003601010,152.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600036,DEUEL SCHOOL DISTRICT 19-4,1011.0,CLEAR LAKE ELEMENTARY - 02,460003601011,268.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600036,DEUEL SCHOOL DISTRICT 19-4,1013.0,CLEAR LAKE MIDDLE SCHOOL - 04,460003601013,121.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600041,BRITTON-HECLA SCHOOL DISTRICT 45-4,1140.0,BRITTON-HECLA ELEMENTARY - 02,460004101140,207.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600041,BRITTON-HECLA SCHOOL DISTRICT 45-4,1141.0,BRITTON-HECLA HIGH SCHOOL - 01,460004101141,184.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600041,BRITTON-HECLA SCHOOL DISTRICT 45-4,1142.0,BRITTON-HECLA JR. HIGH - 03,460004101142,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600041,BRITTON-HECLA SCHOOL DISTRICT 45-4,1143.0,SUNSET COLONY ELEMENTARY - 04,460004101143,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600041,BRITTON-HECLA SCHOOL DISTRICT 45-4,1180.0,WESTWOOD RURAL ELEMENTARY - 05,460004101180,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600042,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,655.0,ONIDA ELEMENTARY - 04,460004200655,107.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600042,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,656.0,SULLY BUTTES HIGH SCHOOL - 07,460004200656,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600042,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,855.0,BLUNT ELEMENTARY - 03,460004200855,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,f,
SD,4600042,AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,939.0,SULLY BUTTES JR. HIGH - 06,460004200939,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600045,GROTON AREA SCHOOL DISTRICT 06-6,1155.0,GROTON AREA HIGH SCHOOL - 01,460004501155,198.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600045,GROTON AREA SCHOOL DISTRICT 06-6,1156.0,GROTON AREA ELEMENTARY - 02,460004501156,285.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600045,GROTON AREA SCHOOL DISTRICT 06-6,1157.0,GROTON AREA MIDDLE SCHOOL - 03,460004501157,141.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600046,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,1163.0,HITCHCOCK-TULARE HIGH SCHOOL - 01,460004601163,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600046,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,1164.0,HITCHCOCK-TULARE JR. HIGH SCHOOL - 02,460004601164,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600046,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,1165.0,SPINK COLONY ELEMENTARY - 03,460004601165,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600046,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,1166.0,GLENDALE COLONY ELEMENTARY - 04,460004601166,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600046,HITCHCOCK TULARE SCHOOL DISTRICT 56-6,1167.0,HITCHCOCK-TULARE ELEMENTARY - 05,460004601167,97.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600052,TEA AREA SCHOOL DISTRICT 41-5,388.0,TEA AREA ELEMENTARY - 01,460005200388,732.0,,0.0,83.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600052,TEA AREA SCHOOL DISTRICT 41-5,853.0,TEA AREA MIDDLE SCHOOL - 02,460005200853,311.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600052,TEA AREA SCHOOL DISTRICT 41-5,1235.0,TEA AREA HIGH SCHOOL - 03,460005201235,345.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600053,SISSETON SCHOOL DISTRICT 54-2,1239.0,SISSETON HIGH SCHOOL - 01,460005301239,309.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600053,SISSETON SCHOOL DISTRICT 54-2,1241.0,WESTSIDE ELEMENTARY - 03,460005301241,445.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600053,SISSETON SCHOOL DISTRICT 54-2,1242.0,NEW EFFINGTON ELEMENTARY - 05,460005301242,59.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4600053,SISSETON SCHOOL DISTRICT 54-2,1258.0,SISSETON MIDDLE SCHOOL - 02,460005301258,205.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,f,
SD,4601026,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,404.0,MCCOOK CENTRAL ELEMENTARY - 02,460102600404,192.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601026,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,1026.0,MCCOOK CENTRAL HIGH SCHOOL - 01,460102601026,126.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601026,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,1034.0,MCCOOK CENTRAL MIDDLE SCHOOL - 03,460102601034,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601026,MCCOOK CENTRAL SCHOOL DISTRICT 43-7,1281.0,GOLDENVIEW COLONY SCHOOL - 04,460102601281,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601027,OLDHAM - RAMONA SCHOOL DISTRICT 39-5,1027.0,OLDHAM-RAMONA HIGH SCHOOL - 01,460102701027,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601027,OLDHAM - RAMONA SCHOOL DISTRICT 39-5,1030.0,OLDHAM-RAMONA ELEMENTARY - 02,460102701030,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601027,OLDHAM - RAMONA SCHOOL DISTRICT 39-5,1035.0,OLDHAM-RAMONA JR. HIGH - 03,460102701035,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601027,OLDHAM - RAMONA SCHOOL DISTRICT 39-5,1112.0,SPRING LAKE COLONY ELEMENTARY - 04,460102701112,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601028,SELBY AREA SCHOOL DISTRICT 62-5,1028.0,SELBY HIGH SCHOOL - 01,460102801028,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601028,SELBY AREA SCHOOL DISTRICT 62-5,1032.0,SELBY ELEMENTARY - 02,460102801032,190.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4601028,SELBY AREA SCHOOL DISTRICT 62-5,1036.0,SELBY JR. HIGH - 03,460102801036,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,2.0,C C  LEE ELEMENTARY - 05,460207000002,410.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,3.0,CENTRAL HIGH SCHOOL - 01,460207000003,1180.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,5.0,HOLGATE MIDDLE SCHOOL - 02,460207000005,407.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,7.0,LINCOLN ELEMENTARY - 08,460207000007,525.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,8.0,MAY OVERBY ELEMENTARY - 09,460207000008,376.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,9.0,O M TIFFANY ELEMENTARY - 11,460207000009,394.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,10.0,SIMMONS ELEMENTARY - 10,460207000010,339.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,11.0,SIMMONS MIDDLE SCHOOL - 03,460207000011,454.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,1130.0,NEW BEGINNINGS,460207001130,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602070,ABERDEEN SCHOOL DISTRICT 06-1,1230.0,ABERDEEN ALTERNATIVE - 12,460207001230,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,15.0,MILLBROOK COLONY ELEMENTARY - 04,460264000015,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,17.0,HANSON HIGH SCHOOL - 01,460264000017,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,18.0,HANSON MS - 02,460264000018,37.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,875.0,OAKLANE COLONY ELEMENTARY - 05,460264000875,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,876.0,HANSON ELEMENTARY - 06,460264000876,157.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4602640,HANSON SCHOOL DISTRICT 30-1,1272.0,HANSON COLONY ALTERNATIVE HIGH SCHOOL - 07,460264001272,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603720,ARLINGTON SCHOOL DISTRICT 38-1,21.0,ARLINGTON ELEMENTARY - 02,460372000021,165.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603720,ARLINGTON SCHOOL DISTRICT 38-1,22.0,ARLINGTON HIGH SCHOOL - 01,460372000022,105.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603720,ARLINGTON SCHOOL DISTRICT 38-1,877.0,ARLINGTON JR. HIGH - 03,460372000877,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603780,ARMOUR SCHOOL DISTRICT 21-1,23.0,ARMOUR ELEMENTARY - 02,460378000023,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603780,ARMOUR SCHOOL DISTRICT 21-1,24.0,ARMOUR HIGH SCHOOL - 01,460378000024,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603780,ARMOUR SCHOOL DISTRICT 21-1,878.0,ARMOUR MIDDLE SCHOOL - 03,460378000878,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603932,SANBORN CENTRAL SCHOOL DISTRICT 55-5,99.0,SANBORN CENTRAL HIGH SCHOOL - 01,460393200099,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,f,
SD,4603932,SANBORN CENTRAL SCHOOL DISTRICT 55-5,102.0,SANBORN CENTRAL MIDDLE SCHOOL - 02,460393200102,39.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,f,
SD,4603932,SANBORN CENTRAL SCHOOL DISTRICT 55-5,120.0,UPLAND COLONY ELEMENATRY - 05,460393200120,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4603932,SANBORN CENTRAL SCHOOL DISTRICT 55-5,1162.0,SANBORN CENTRAL ELEMENTARY - 06,460393201162,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604270,AVON SCHOOL DISTRICT 04-1,28.0,AVON ELEMENTARY - 02,460427000028,155.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604270,AVON SCHOOL DISTRICT 04-1,29.0,AVON HIGH SCHOOL - 01,460427000029,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604270,AVON SCHOOL DISTRICT 04-1,829.0,AVON JR. HIGH - 05,460427000829,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604680,BALTIC SCHOOL DISTRICT 49-1,35.0,BALTIC ELEMENTARY - 02,460468000035,212.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604680,BALTIC SCHOOL DISTRICT 49-1,36.0,BALTIC HIGH SCHOOL - 01,460468000036,117.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4604680,BALTIC SCHOOL DISTRICT 49-1,986.0,BALTIC MIDDLE SCHOOL - 03,460468000986,122.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4605610,BELLE FOURCHE SCHOOL DISTRICT 09-1,38.0,BELLE FOURCHE HIGH SCHOOL - 01,460561000038,362.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4605610,BELLE FOURCHE SCHOOL DISTRICT 09-1,269.0,SOUTH PARK ELEMENTARY - 03,460561000269,420.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4605610,BELLE FOURCHE SCHOOL DISTRICT 09-1,289.0,NORTH PARK ELEMENTARY - 08,460561000289,172.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4605610,BELLE FOURCHE SCHOOL DISTRICT 09-1,1117.0,BELLE FOURCHE MIDDLE SCHOOL - 07,460561001117,411.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4605610,BELLE FOURCHE SCHOOL DISTRICT 09-1,1277.0,BELLE FOURCHE EDUCATION CONNECTION - 09,460561001277,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606240,BENNETT COUNTY SCHOOL DISTRICT 03-1,42.0,BENNETT COUNTY HIGH SCHOOL - 01,460624000042,214.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606240,BENNETT COUNTY SCHOOL DISTRICT 03-1,45.0,MARTIN ELEMENTARY - 03,460624000045,264.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606240,BENNETT COUNTY SCHOOL DISTRICT 03-1,1015.0,BENNETT COUNTY JR. HIGH - 06,460624001015,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606360,BERESFORD SCHOOL DISTRICT 61-2,47.0,BERESFORD ELEMENTARY - 02,460636000047,317.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606360,BERESFORD SCHOOL DISTRICT 61-2,48.0,BERESFORD HIGH SCHOOL - 01,460636000048,191.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606360,BERESFORD SCHOOL DISTRICT 61-2,51.0,BERESFORD MIDDLE SCHOOL - 03,460636000051,150.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606960,BIG STONE CITY SCHOOL DISTRICT 25-1,53.0,BIG STONE CITY ELEMENTARY - 01,460696000053,89.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4606960,BIG STONE CITY SCHOOL DISTRICT 25-1,352.0,BIG STONE CITY MIDDLE SCHOOL - 03,460696000352,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607050,BISON SCHOOL DISTRICT 52-1,54.0,BISON ELEMENTARY - 02,460705000054,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607050,BISON SCHOOL DISTRICT 52-1,55.0,BISON HIGH SCHOOL - 01,460705000055,51.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607050,BISON SCHOOL DISTRICT 52-1,879.0,BISON JR. HIGH - 04,460705000879,27.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,60.0,HUTTERISCHE COLONY ELEMENTARY - 18,460740000060,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,61.0,SPRINGFIELD ELEMENTARY - 03,460740000061,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,63.0,TABOR ELEMENTARY - 05,460740000063,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,64.0,TYNDALL ELEMENTARY - 04,460740000064,112.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,65.0,BON HOMME HIGH SCHOOL - 01,460740000065,175.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,987.0,BON HOMME MIDDLE SCHOOL - 02,460740000987,118.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607400,BON HOMME SCHOOL DISTRICT 04-2,1188.0,BH COLONY ALTERNATIVE HIGH SCHOOL - 19,460740001188,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607670,SOUTH CENTRAL 26-5,880.0,SOUTH CENTRAL HIGH SCHOOL - 01,460767000880,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607670,SOUTH CENTRAL 26-5,881.0,SOUTH CENTRAL MIDDLE SCHOOL - 02,460767000881,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607670,SOUTH CENTRAL 26-5,882.0,SOUTH CENTRAL ELEMENTARY - 03,460767000882,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607800,BOWDLE SCHOOL DISTRICT 22-1,68.0,BOWDLE ELEMENTARY - 02,460780000068,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607800,BOWDLE SCHOOL DISTRICT 22-1,69.0,BOWDLE HIGH SCHOOL - 01,460780000069,37.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607800,BOWDLE SCHOOL DISTRICT 22-1,883.0,BOWDLE JR. HIGH - 03,460780000883,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,71.0,BRANDON VALLEY HIGH SCHOOL - 01,460795000071,965.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,72.0,BRANDON VALLEY MIDDLE SCHOOL - 02,460795000072,790.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,73.0,VALLEY SPRINGS ELEMENTARY - 04,460795000073,157.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,414.0,BRANDON ELEMENTARY - 03,460795000414,584.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,1237.0,ROBERT BENNIS ELEMENTARY - 05,460795001237,509.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4607950,BRANDON VALLEY SCHOOL DISTRICT 49-2,1302.0,FRED ASSAM ELEMENTARY - 06,460795001302,367.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
SD,4608520,BROOKINGS SCHOOL DISTRICT 05-1,82.0,BROOKINGS HIGH SCHOOL - 01,460852000082,812.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4608520,BROOKINGS SCHOOL DISTRICT 05-1,83.0,GS MICKELSON MIDDLE SCHOOL - 02,460852000083,646.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
SD,4608520,BROOKINGS SCHOOL DISTRICT 05-1,85.0,HILLCREST ELEMENTARY - 04,460852000085,501.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,f,
SD,4608520,BROOKINGS SCHOOL DISTRICT 05-1,86.0,MEDARY ELEMENTARY - 05,460852000086,555.0,,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
