State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
TN,4700001,HAMBLEN COUNTY,477.0,ALPHA ELEMENTARY,470000100477,679.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,479.0,EAST RIDGE MIDDLE SCHOOL,470000100479,621.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,480.0,FAIRVIEW MARGUERITE,470000100480,480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,481.0,MANLEY ELEMENTARY,470000100481,651.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,483.0,RUSSELLVILLE ELEMENTARY,470000100483,767.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,485.0,UNION HEIGHTS ELEMENTARY,470000100485,315.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,487.0,WHITESBURG ELEMENTARY,470000100487,243.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,488.0,WITT ELEMENTARY,470000100488,225.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1268.0,HAMBLEN COUNTY ALTERNATIVE SCHOOL,470000101268,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1271.0,WEST VIEW MIDDLE SCHOOL,470000101271,651.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1929.0,HILLCREST ELEMENTARY,470000101929,543.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1930.0,JOHN HAY ELEMENTARY,470000101930,262.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1931.0,LINCOLN HEIGHTS ELEMENTARY,470000101931,466.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1933.0,LINCOLN HEIGHTS MIDDLE SCHOOL,470000101933,490.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1934.0,MEADOWVIEW MIDDLE SCHOOL,470000101934,531.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1935.0,MORRISTOWN EAST HIGH,470000101935,1423.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TN,4700001,HAMBLEN COUNTY,1936.0,MORRISTOWN WEST HIGH,470000101936,1388.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
