State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
TX,4800001,CROSBYTON CISD,1145.0,CROSBYTON EL,480000101145,214.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800001,CROSBYTON CISD,1146.0,CROSBYTON H S,480000101146,109.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800001,CROSBYTON CISD,1147.0,CROSBYTON MIDDLE,480000101147,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800002,SPUR ISD,4732.0,SPUR SCHOOL,480000204732,289.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800003,ROCKSPRINGS ISD,4218.0,ROCKSPRINGS EL,480000304218,206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800003,ROCKSPRINGS ISD,4219.0,ROCKSPRINGS H S,480000304219,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800004,POR VIDA ACADEMY,7173.0,POR VIDA ACADEMY CHARTER H S,480000407173,214.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800004,POR VIDA ACADEMY,9116.0,CORPUS CHRISTI COLLEGE PREP H S,480000409116,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800004,POR VIDA ACADEMY,9460.0,CESAR E CHAVEZ ACADEMY,480000409460,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800005,BLACKWELL CISD,513.0,BLACKWELL SCHOOL,480000500513,147.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800006,ASPERMONT ISD,274.0,ASPERMONT EL,480000600274,162.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800006,ASPERMONT ISD,275.0,ASPERMONT HS,480000600275,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800007,PANTHER CREEK CISD,6343.0,PANTHER CREEK H S,480000706343,175.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800008,DRIPPING SPRINGS ISD,1507.0,DRIPPING SPRINGS EL,480000801507,801.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800008,DRIPPING SPRINGS ISD,1508.0,DRIPPING SPRINGS H S,480000801508,1304.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800008,DRIPPING SPRINGS ISD,6094.0,DRIPPING SPRINGS MIDDLE,480000806094,1077.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800008,DRIPPING SPRINGS ISD,6989.0,WALNUT SPRINGS EL,480000806989,706.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800008,DRIPPING SPRINGS ISD,11280.0,ROOSTER SPRINGS EL,480000811280,685.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800009,WIMBERLEY ISD,5246.0,JACOB'S WELL EL,480000905246,477.0,,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800009,WIMBERLEY ISD,6198.0,WIMBERLEY H S,480000906198,700.0,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800009,WIMBERLEY ISD,6499.0,SCUDDER PRI,480000906499,304.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800009,WIMBERLEY ISD,7342.0,DANFORTH J H,480000907342,477.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800010,HAYS CISD,5244.0,JACK C HAYS H S,480001005244,2020.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800010,HAYS CISD,5245.0,KYLE EL,480001005245,678.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
TX,4800010,HAYS CISD,6199.0,R C BARTON MIDDLE,480001006199,855.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
