State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
UT,4900005,AMERICAN PREPARATORY ACADEMY,801.0,AMERICAN PREPARATORY ACADEMY,490000500801,576.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900005,AMERICAN PREPARATORY ACADEMY,1372.0,AMERICAN PREPARATORY ACADEMY--THE SCHOOL FOR NEW A,490000501372,583.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900005,AMERICAN PREPARATORY ACADEMY,1404.0,AMERICAN PREPARATORY ACADEMY--ACCELERATED SCHOOL,490000501404,728.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900009,CITY ACADEMY,742.0,CITY ACADEMY,490000900742,191.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900011,SOLDIER HOLLOW CHARTER SCHOOL,587.0,SOLDIER HOLLOW CHARTER SCHOOL,490001100587,290.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900012,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,673.0,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,490001200673,364.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900013,UINTAH RIVER HIGH,671.0,UINTAH RIVER HIGH,490001300671,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900014,JOHN HANCOCK CHARTER SCHOOL,811.0,JOHN HANCOCK CHARTER SCHOOL,490001400811,188.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900015,THOMAS EDISON - NORTH,820.0,THOMAS EDISON - NORTH,490001500820,498.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
UT,4900015,THOMAS EDISON - NORTH,1284.0,THOMAS EDISON - SOUTH,490001501284,690.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
