State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
VA,5100004,JACKSON RIVER TECH CTR,2016.0,JACKSON RIVER TECH CTR,510000402016,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100014,COOP CTRS FOR EXCEPTIONAL CHILDREN,2086.0,COOP CTR FOR EXCEP CHILDREN,510001402086,89.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100016,NORTHERN NECK REGIONAL SPECIAL EDUCATION PROGRAM,2088.0,NORTHERN NECK REG SPECIAL ED,510001602088,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2089.0,CENTER FOR AUTISM,510001702089,134.0,,0.0,258.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100017,NEW HORIZONS REGIONAL EDUC CTR-SPEC ED,2639.0,NEWPORT ACADEMY,510001702639,116.0,,0.0,153.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100018,PIEDMONT REGIONAL ED.,2090.0,PIEDMONT REG ED/IVY CREEK,510001802090,68.0,,0.0,96.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100020,SOUTHEASTERN COOP ED PGM,2649.0,NORFOLK SECEP CENTER,510002002649,134.0,,0.0,237.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100020,SOUTHEASTERN COOP ED PGM,2670.0,SUFFOLK RE-ED,510002002670,92.0,,0.0,307.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100020,SOUTHEASTERN COOP ED PGM,2675.0,VIRGINIA BEACH SECEP - RE-ED,510002002675,194.0,,0.0,448.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100020,SOUTHEASTERN COOP ED PGM,2681.0,VIRGINIA BEACH SECEP,510002002681,43.0,,0.0,132.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100020,SOUTHEASTERN COOP ED PGM,2689.0,CHESAPEAKE RE-ED,510002002689,149.0,,0.0,177.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100024,LAUREL REGIONAL,1572.0,LAUREL REGIONAL SPECIAL ED CTR,510002401572,72.0,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100025,NORTHWESTERN REG ED PGM,1575.0,NORTHWESTERN REG ED PGM,510002501575,251.0,,0.0,94.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100032,APPOMATTOX REGIONAL GOV SCH,1932.0,APPOMATTOX REGIONAL GOV. SCH.,510003201932,357.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2376.0,NORTHERN VIRGINIA JUVENILE DETENTION HOME,510004202376,774.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2377.0,HIGHLANDS JUVENILE DETENTION HOME,510004202377,245.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2383.0,FAIRFAX JUVENILE DETENTION HOME,510004202383,482.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2389.0,LYNCHBURG JUVENILE DETENTION HOME,510004202389,278.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2390.0,NEW RIVER VALLEY JUVENILE DETENTION HOME,510004202390,186.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2391.0,NEWPORT NEWS JUVENILE DETENTION HOME,510004202391,627.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2392.0,NORFOLK JUVENILE DETENTION CENTER,510004202392,495.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2395.0,RICHMOND JUVENILE DETENTION HOME,510004202395,359.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2397.0,RAPPAHANNOCK JUVENILE DETENTION HOME,510004202397,602.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100042,DOE SOP EDUC PROGRAMS,2399.0,MIDDLE PENINSULA JUVENILE DETENTION HOME,510004202399,429.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VA,5100058,VSDB-STAUNTON,2558.0,VIRGINIA SCHOOL FOR DEAF,510005802558,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
