State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
VT,5000001,CASTLETON-HUBBARDTON USD 42,418.0,CASTLETON-HUBBARDTON USD#42,500000100418,382.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000002,SPAULDING UHSD 41,419.0,SPAULDING HSUD #41,500000200419,766.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000003,LAKEVIEW USD 43,461.0,LAKEVIEW USD #43,500000300461,77.0,,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000005,WOODSIDE JUVENILE REHABILITATION CENTER,251.0,WOODSIDE JUVENILE REHAB CENTER,500000500251,26.0,Z,5.0,31.0,36.0,0.0,2.0,7.0,0.0,1.0,1.0,t,
VT,5000006,UNION #46 SCHOOL DISTRICT,120.0,ESSEX HIGH SCHOOL,500000600120,1373.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000006,UNION #46 SCHOOL DISTRICT,122.0,CENTER FOR TECHNOLOGY ESSEX,500000600122,462.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000008,DUXBURY/WATERBURY UNION #45,130.0,THATCHER BROOK PRIMARY USD,500000800130,461.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000008,DUXBURY/WATERBURY UNION #45,146.0,CROSSETT BROOK MIDDLE SCHOOL USD #,500000800146,282.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000009,METTAWEE COMMUNITY SCHOOL,177.0,METTAWEE COMMUNITY SCHOOL USD,500000900177,241.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000025,BELLOWS FREE ACADEMY UNION HIGH SCHOOL #48,205.0,BELLOWS FREE ACADEMY UHSD#48,500002500205,1080.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000026,ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT,138.0,ATHENS/GRAFTON JOINT CONTRACT SCHOOL,500002600138,87.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000027,WHITINGHAM/WILMINGTON JOINT DISTRICT,188.0,TWIN VALLEY HIGH SCHOOL,500002700188,166.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000027,WHITINGHAM/WILMINGTON JOINT DISTRICT,194.0,TWIN VALLEY MIDDLE SCHOOL,500002700194,125.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000371,RIVER VALLEY TECHNICAL CENTER,97.0,RIVER VALLEY TECHNICAL CENTER,500037100097,297.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5000374,BROOKLINE/NEWFANE JOINT SCHOOL CONTRACT,537.0,NEWBROOK ELEMENTARY SCHOOL,500037400537,163.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5001710,ADDISON SCHOOL DISTRICT,1.0,ADDISON CENTRAL SCHOOL,500171000001,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5001740,ALBANY SCHOOL DISTRICT,420.0,ALBANY COMMUNITY SCHOOL,500174000420,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5001770,ALBURG SCHOOL DISTRICT,4.0,ALBURG COMMUNITY ED CENTER,500177000004,185.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,f,
VT,5001890,BAKERSFIELD SCHOOL DISTRICT,9.0,BAKERSFIELD SCHOOL,500189000009,176.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,f,
VT,5001980,BARNET SCHOOL DISTRICT,421.0,BARNET ELEMENTARY SCHOOL,500198000421,226.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002040,BARRE TOWN SCHOOL DISTRICT,24.0,BARRE TOWN ELEMENTARY SCHOOL,500204000024,876.0,,0.0,154.0,32.0,0.0,0.0,0.0,0.0,46.0,28.0,f,
VT,5002070,BARTON ID SCHOOL DISTRICT,25.0,BARTON GRADED SCHOOL,500207000025,202.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002160,BENSON SCHOOL DISTRICT,33.0,BENSON VILLAGE SCHOOL,500216000033,130.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
VT,5002190,BERKSHIRE SCHOOL DISTRICT,34.0,BERKSHIRE ELEMENTARY SCHOOL,500219000034,197.0,,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002220,BERLIN ELEMENTARY SCHOOL DISTRICT,35.0,BERLIN ELEMENTARY SCHOOL,500222000035,216.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002250,BETHEL SCHOOL DISTRICT,36.0,BETHEL ELEMENTARY SCHOOL,500225000036,142.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002250,BETHEL SCHOOL DISTRICT,37.0,WHITCOMB JR/SR HIGH SCHOOL,500225000037,132.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
VT,5002310,BOLTON SCHOOL DISTRICT,38.0,SMILIE MEMORIAL ELEMENTARY SCHOOL,500231000038,93.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002340,BRADFORD ID SCHOOL DISTRICT,39.0,BRADFORD ELEMENTARY SCHOOL,500234000039,210.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002370,BRAINTREE SCHOOL DISTRICT,422.0,BRAINTREE SCHOOL,500237000422,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002400,RANDOLPH UHSD 2,42.0,RANDOLPH UHSD #2,500240000042,394.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002400,RANDOLPH UHSD 2,98.0,RANDOLPH TECHNICAL CAREER CENTER,500240000098,130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002480,BRANDON SCHOOL DISTRICT,411.0,NESHOBE SCHOOL,500248000411,402.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002490,BRATTLEBORO SCHOOL DISTRICT,56.0,CANAL ST/OAK GROVE SCHOOLS,500249000056,123.0,,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,f,
VT,5002490,BRATTLEBORO SCHOOL DISTRICT,61.0,GREEN STREET SCHOOL,500249000061,242.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002490,BRATTLEBORO SCHOOL DISTRICT,79.0,ACADEMY SCHOOL (BRATTLEBORO),500249000079,361.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,f,
VT,5002520,BRATTLEBORO UHSD 6,51.0,BRATTLEBORO SR. UHSD #6,500252000051,912.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,f,
VT,5002520,BRATTLEBORO UHSD 6,485.0,BRATTLEBORO AREA MIDDLE SCHOOL UHSD,500252000485,257.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002550,BRIDPORT SCHOOL DISTRICT,52.0,BRIDPORT CENTRAL SCHOOL,500255000052,87.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002580,BRIDGEWATER ELEMENTARY,53.0,BRIDGEWATER VILLAGE SCHOOL,500258000053,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002610,BRIGHTON SCHOOL DISTRICT,54.0,BRIGHTON ELEMENTARY SCHOOL,500261000054,98.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002640,BRISTOL SCHOOL DISTRICT,423.0,BRISTOL ELEMENTARY SCHOOL,500264000423,279.0,,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,f,
VT,5002670,BROOKFIELD SCHOOL DISTRICT,57.0,BROOKFIELD SCHOOL,500267000057,73.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002730,BROWNINGTON SCHOOL DISTRICT,59.0,BROWNINGTON CENTRAL SCHOOL,500273000059,94.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002790,BURKE SCHOOL DISTRICT,424.0,BURKE TOWN SCHOOL,500279000424,184.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,63.0,BURLINGTON SENIOR HIGH SCHOOL,500282000063,986.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,64.0,C. P. SMITH SCHOOL,500282000064,254.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,65.0,CHAMPLAIN SCHOOL,500282000065,332.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,66.0,EDMUNDS MIDDLE SCHOOL,500282000066,382.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,68.0,J. J. FLYNN SCHOOL,500282000068,358.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,69.0,SUSTAINABILITY ACADEMY AT LAWRENCE BARNES,500282000069,206.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,70.0,LYMAN C. HUNT MIDDLE SCHOOL,500282000070,383.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,71.0,EDMUNDS ELEMENTARY SCHOOL,500282000071,356.0,,0.0,16.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,73.0,INTEGRATED ARTS ACADEMY AT H. O. WHEELER,500282000073,293.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,99998.0,HORIZON,500282099998,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002820,BURLINGTON SCHOOL DISTRICT,99999.0,ONTOP SCHOOL,500282099999,21.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002850,CABOT SCHOOL DISTRICT,74.0,CABOT SCHOOL,500285000074,196.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002880,CALAIS SCHOOL DISTRICT,76.0,CALAIS ELEMENTARY SCHOOL,500288000076,138.0,,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,f,
VT,5002910,CAMBRIDGE SCHOOL DISTRICT,77.0,CAMBRIDGE ELEMENTARY SCHOOL,500291000077,375.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5002940,CANAAN SCHOOL DISTRICT,426.0,CANAAN SCHOOLS,500294000426,191.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003010,CAVENDISH SCHOOL DISTRICT,81.0,CAVENDISH TOWN ELEM. SCHOOL,500301000081,111.0,,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003030,CHAMPLAIN VALLEY UHSD 15,82.0,CHAMPLAIN VALLEY UHSD #15,500303000082,1365.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003060,CHARLESTON SCHOOL DISTRICT,83.0,CHARLESTON ELEM. SCHOOL,500306000083,120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003090,CHARLOTTE SCHOOL DISTRICT,84.0,CHARLOTTE CENTRAL SCHOOL,500309000084,460.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,f,
VT,5003120,CHELSEA SCHOOL DISTRICT,85.0,CHELSEA ELEM. HIGH SCHOOL,500312000085,165.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003210,CLARENDON SCHOOL DISTRICT,86.0,CLARENDON ELEMENTARY SCHOOL,500321000086,213.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003240,COLCHESTER SCHOOL DISTRICT,87.0,COLCHESTER HIGH SCHOOL,500324000087,722.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003240,COLCHESTER SCHOOL DISTRICT,88.0,COLCHESTER MIDDLE SCHOOL,500324000088,508.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003240,COLCHESTER SCHOOL DISTRICT,90.0,MALLETTS BAY SCHOOL,500324000090,483.0,,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003240,COLCHESTER SCHOOL DISTRICT,91.0,PORTERS POINT SCHOOL,500324000091,249.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,f,
VT,5003240,COLCHESTER SCHOOL DISTRICT,92.0,UNION MEMORIAL SCHOOL,500324000092,217.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003270,CONCORD SCHOOL DISTRICT,427.0,CONCORD SCHOOLS,500327000427,211.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003330,CORNWALL SCHOOL DISTRICT,95.0,BINGHAM MEMORIAL SCHOOL,500333000095,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003360,COVENTRY SCHOOL DISTRICT,96.0,COVENTRY VILLAGE SCHOOL,500336000096,114.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003390,CRAFTSBURY SCHOOL DISTRICT,428.0,CRAFTSBURY SCHOOLS,500339000428,161.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003450,DANVILLE SCHOOL DISTRICT,451.0,DANVILLE SCHOOL,500345000451,326.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003480,DERBY SCHOOL DISTRICT,429.0,DERBY ELEMENTARY SCHOOL,500348000429,334.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003510,DORSET SCHOOL DISTRICT,104.0,DORSET ELEMENTARY SCHOOL,500351000104,169.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003540,DOVER SCHOOL DISTRICT,105.0,DOVER ELEMENTARY SCHOOL,500354000105,102.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003570,DUMMERSTON SCHOOL DISTRICT,430.0,DUMMERSTON SCHOOLS,500357000430,182.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003660,EAST HAVEN SCHOOL DISTRICT,109.0,EAST HAVEN RIVER SCHOOL,500366000109,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003690,EAST MONTPELIER SCHOOL DISTRICT,110.0,EAST MONTPELIER ELEMENTARY SCHOOL,500369000110,256.0,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003720,EDEN SCHOOL DISTRICT,111.0,EDEN CENTRAL SCHOOL,500372000111,133.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003750,ELMORE SCHOOL DISTRICT,112.0,LAKE ELMORE SCHOOL,500375000112,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003780,ENOSBURGH TOWN SCHOOL DISTRICT,22.0,ENOSBURG FALLS JR/SR HIGH SCHOOL,500378000022,435.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003780,ENOSBURGH TOWN SCHOOL DISTRICT,113.0,ENOSBURG FALLS ELEM. SCHOOL,500378000113,245.0,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003810,ESSEX JUNCTION ID SCHOOL DIST,115.0,ALBERT D. LAWTON SCHOOL,500381000115,345.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003810,ESSEX JUNCTION ID SCHOOL DIST,117.0,HIAWATHA SCHOOL,500381000117,225.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003810,ESSEX JUNCTION ID SCHOOL DIST,452.0,SUMMIT STREET SCHOOL,500381000452,236.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003810,ESSEX JUNCTION ID SCHOOL DIST,453.0,THOMAS FLEMING SCHOOL,500381000453,210.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003840,ESSEX TOWN SCHOOL DISTRICT,121.0,ESSEX MIDDLE SCHOOL,500384000121,418.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003840,ESSEX TOWN SCHOOL DISTRICT,123.0,ESSEX ELEMENTARY SCHOOL,500384000123,437.0,,0.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,3.0,f,
VT,5003840,ESSEX TOWN SCHOOL DISTRICT,403.0,FOUNDERS MEMORIAL SCHOOL,500384000403,412.0,,0.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,f,
VT,5003870,FAIR HAVEN SCHOOL DISTRICT,126.0,FAIR HAVEN GRADE SCHOOL,500387000126,355.0,,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,f,
VT,5003900,FAIR HAVEN UHSD 16,127.0,FAIR HAVEN UHSD #16,500390000127,422.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003930,FAIRFAX SCHOOL DISTRICT,204.0,BFA HIGH SCHOOL - FAIRFAX,500393000204,339.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003930,FAIRFAX SCHOOL DISTRICT,206.0,BFA ELEM/ MIDDLE SCHOOL,500393000206,589.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5003960,FAIRFIELD SCHOOL DISTRICT,432.0,FAIRFIELD CENTER SCHOOL,500396000432,221.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004020,FAYSTON SCHOOL DISTRICT,132.0,FAYSTON ELEMENTARY SCHOOL,500402000132,114.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004050,FERRISBURG SCHOOL DISTRICT,133.0,FERRISBURGH CENTRAL SCHOOL,500405000133,172.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004080,FLETCHER SCHOOL DISTIRCT,134.0,FLETCHER ELEMENTARY SCHOOL,500408000134,133.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004110,FRANKLIN SCHOOL DISTRICT,135.0,FRANKLIN CENTRAL SCHOOL,500411000135,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004140,GEORGIA SCHOOL DISTRICT,136.0,GEORGIA ELEMENTARY & MIDDLE SCHOOL,500414000136,639.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004170,GLOVER VILLAGE SCHOOL,137.0,GLOVER VILLAGE SCHOOL,500417000137,127.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004290,GRAND ISLE SCHOOL DISTRICT,140.0,GRAND ISLE ELEMENTARY SCHOOL,500429000140,213.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004440,GUILDHALL SCHOOL DISTRICT,143.0,GUILDHALL ELEMENTARY SCHOOL,500444000143,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004470,GUILFORD SCHOOL DISTRICT,144.0,GUILFORD CENTRAL SCHOOL,500447000144,140.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004500,HALIFAX SCHOOL DISTRICT,145.0,HALIFAX WEST SCHOOL,500450000145,52.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004560,HARDWICK TOWN SCHOOL DISTRICT,147.0,HARDWICK ELEMENTARY SCHOOL,500456000147,269.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004580,HARWOOD UHSD 19,148.0,HARWOOD UHSD #19,500458000148,579.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004580,HARWOOD UHSD 19,169.0,HARWOOD UNION MIDDLE UHSD #19,500458000169,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
VT,5004590,HARTFORD SCHOOL DISTRICT,47.0,DOTHAN BROOK SCHOOL,500459000047,244.0,,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,f,
