State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
WA,5300001,ENUMCLAW SCHOOL DISTRICT,376.0,BLACK DIAMOND ELEMENTARY,530000100376,284.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,377.0,BYRON KIBLER ELEMENTARY SCHOOL,530000100377,389.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,379.0,ENUMCLAW SR HIGH SCHOOL,530000100379,1100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,382.0,SOUTHWOOD ELEMENTARY SCHOOL,530000100382,359.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,383.0,WESTWOOD ELEMENTARY SCHOOL,530000100383,336.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,478.0,SUNRISE ELEMENTARY,530000100478,385.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,2054.0,ENUMCLAW MIDDLE SCHOOL,530000102054,504.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,2795.0,THUNDER MOUNTAIN MIDDLE SCHOOL,530000102795,474.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300001,ENUMCLAW SCHOOL DISTRICT,3038.0,SPECIAL ED SCHOOL,530000103038,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300002,INCHELIUM SCHOOL DISTRICT,568.0,INCHELIUM HIGH SCHOOL,530000200568,55.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300002,INCHELIUM SCHOOL DISTRICT,2870.0,INCHELIUM MIDDLE SCHOOL,530000202870,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300002,INCHELIUM SCHOOL DISTRICT,2871.0,INCHELIUM ELEMENTARY SCHOOL,530000202871,119.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,167.0,CARROLLS ELEMENTARY,530000300167,136.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,587.0,BARNES ELEMENTARY,530000300587,342.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,588.0,BEACON HILL ELEMENTARY,530000300588,561.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,589.0,BUTLER ACRES ELEMENTARY,530000300589,414.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,590.0,CATLIN ELEMENTARY,530000300590,247.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,591.0,COWEEMAN MIDDLE SCHOOL,530000300591,534.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,592.0,HUNTINGTON MIDDLE SCHOOL,530000300592,566.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,593.0,KELSO HIGH SCHOOL,530000300593,1606.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,594.0,ROSE VALLEY ELEMENTARY,530000300594,140.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,596.0,WALLACE ELEMENTARY,530000300596,360.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,2917.0,COWLITZ CO DETENTION CTR,530000302917,37.0,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,
WA,5300003,KELSO SCHOOL DISTRICT,3076.0,SPECIAL EDUCATION,530000303076,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,3109.0,LOOWIT HIGH SCHOOL,530000303109,29.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WA,5300003,KELSO SCHOOL DISTRICT,3314.0,KELSO VIRTUAL ACADEMY,530000303314,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
