State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
WI,5500013,LAKE COUNTRY SCHOOL DISTRICT,578.0,LAKE COUNTRY SCHOOL,550001300578,522.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500016,BLAIR-TAYLOR SCHOOL DISTRICT,2378.0,BLAIR-TAYLOR MIDDLE/HIGH,550001602378,284.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500016,BLAIR-TAYLOR SCHOOL DISTRICT,2380.0,BLAIR-TAYLOR ELEMENTARY,550001602380,277.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500016,BLAIR-TAYLOR SCHOOL DISTRICT,3359.0,SOSET CHARTER SCHOOL,550001603359,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500017,RIVER RIDGE SCHOOL DISTRICT,684.0,RIVER RIDGE ELEMENTARY,550001700684,201.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500017,RIVER RIDGE SCHOOL DISTRICT,685.0,RIVER RIDGE MIDDLE,550001700685,168.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500017,RIVER RIDGE SCHOOL DISTRICT,686.0,RIVER RIDGE HIGH,550001700686,168.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500018,BROWN CO CDEB,1612.0,HOPP ELEMENTARY/SECONDARY,550001801612,302.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500021,WALWORTH CO CDEB,1615.0,LAKELAND ELEMENTARY/SECONDARY,550002101615,254.0,,0.0,266.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500022,COOPERATIVE ED SERV AGCY 01,99993.0,LEARNING CENTER - WAUKESHA,550002299993,32.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500022,COOPERATIVE ED SERV AGCY 01,99994.0,LEARNING CENTER - MEQUON - OZAUKEE COMMUNITY HS,550002299994,24.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WI,5500022,COOPERATIVE ED SERV AGCY 01,99995.0,TURNING POINT,550002299995,17.0,,0.0,68.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
