State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
WV,5400030,BARBOUR COUNTY SCHOOLS,1.0,BELINGTON ELEMENTARY,540003000001,328.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,2.0,BELINGTON MIDDLE SCHOOL,540003000002,219.0,,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,53.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,4.0,JUNIOR ELEMENTARY,540003000004,140.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,5.0,KASSON ELEMENTARY/MIDDLE SCHOOL,540003000005,222.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,7.0,MOUNT VERNON ELEMENTARY,540003000007,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,8.0,PHILIP BARBOUR HIGH SCHOOL COMPLEX,540003000008,721.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,9.0,PHILIPPI ELEMENTARY SCHOOL,540003000009,469.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,10.0,PHILIPPI MIDDLE SCHOOL,540003000010,264.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400030,BARBOUR COUNTY SCHOOLS,11.0,VOLGA CENTURY ELEMENTARY,540003000011,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,12.0,BACK CREEK VALLEY ELEMENTARY SCHOOL,540006000012,165.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,13.0,BEDINGTON ELEMENTARY SCHOOL,540006000013,160.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,14.0,BUNKER HILL ELEMENTARY SCHOOL,540006000014,399.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,15.0,BURKE STREET ELEMENTARY SCHOOL,540006000015,112.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,17.0,GERRARDSTOWN ELEMENTARY SCHOOL,540006000017,263.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WV,5400060,BERKELEY COUNTY SCHOOLS,18.0,HEDGESVILLE ELEMENTARY SCHOOL,540006000018,623.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,f,
