State,leaid,District_name,schid,School_name,combokey,total_enrollment,justice_facility,idea_mech_restraints,idea_phys_restraints,idea_seclusion,section_504_mech_restraints,section_504_phys_restraints,section_504_seclusion,no_dis_mech_restraints,no_dis_phys_restraints,no_dis_seclusion,propublica_dirty,incomplete
WY,5600014,NORMATIVE SERVICES - ADMINISTRATION OFFICE,225.0,NORMATIVE SERVICES,560001400225,74.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600015,RED TOP MEADOWS - ADMINISTRATION OFFICE,243.0,RED TOP MEADOWS,560001500243,15.0,X,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,t,
WY,5600016,NORTHWEST WYOMING BOCES,45.0,BIG HORN BASIN CHILDREN'S CENTER,560001600045,28.0,,0.0,684.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,1.0,LARAMIE HIGH SCHOOL,560073000001,752.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,2.0,LARAMIE JUNIOR HIGH SCHOOL,560073000002,696.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,3.0,ROCK RIVER HIGH SCHOOL,560073000003,36.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,4.0,INDIAN PAINTBRUSH  ELEMENTARY,560073000004,341.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,5.0,BEITEL ELEMENTARY,560073000005,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,6.0,SPRING CREEK ELEMENTARY,560073000006,320.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,7.0,CENTENNIAL ELEMENTARY,560073000007,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,11.0,HARMONY ELEMENTARY,560073000011,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,14.0,VELMA LINFORD ELEMENTARY,560073000014,418.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,17.0,ROCK RIVER JUNIOR HIGH SCHOOL,560073000017,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,20.0,SLADE ELEMENTARY,560073000020,361.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,66.0,WHITING HIGH SCHOOL,560073000066,51.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,216.0,SNOWY RANGE ACADEMY,560073000216,170.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,453.0,ROCK RIVER ELEMENTARY,560073000453,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,535.0,UW LABORATORY SCHOOL,560073000535,221.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600730,ALBANY COUNTY SCHOOL DISTRICT #1,99999.0,LARAMIE MONTESSORI SCHOOL,560073099999,49.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600960,FREMONT COUNTY SCHOOL DISTRICT #38,162.0,ARAPAHOE ELEMENTARY,560096000162,432.0,,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5600960,FREMONT COUNTY SCHOOL DISTRICT #38,367.0,ARAPAHOE CHARTER HIGH SCHOOL,560096000367,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
WY,5601030,CARBON COUNTY SCHOOL DISTRICT #1,26.0,RAWLINS HIGH SCHOOL,560103000026,393.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,
