State,Under 5 Years,5 to 13 Years
AL,310504,552339
AK,52083,85640
AZ,515910,828669
AR,202070,343207
CA,2704659,4499890
CO,358280,587154
CT,211637,403658
DE,59319,99496
DC,36352,50439
FL,1140516,1938695
GA,740521,1250460
HI,87207,134025
ID,121746,201192
IL,894368,1558919
IN,443089,780199
IA,201321,345409
KS,202529,342134
KY,284601,493536
LA,310716,542341
ME,71459,133656
MD,371787,651923
MA,383568,701752
MI,625526,1179503
MN,358471,606802
MS,220813,371502
MO,399450,690476
MT,61114,106088
NE,132092,215265
NV,199175,325650
NH,75297,144235
NJ,557421,1011656
NM,148323,241326
NY,1208495,2141490
NC,652823,1097890
ND,41896,67358
OH,743750,1340492
OK,266547,438926
OR,243483,424167
PA,737462,1345341
RI,60934,111408
SC,303024,517803
SD,58566,94438
TN,416334,725948
TX,2027307,3277946
UT,268916,413034
VT,32635,62538
VA,522672,887525
WA,433119,750274
WV,105435,189649
WI,362277,640286
WY,38253,60890
