State,School_name
AK,JOANN A. ALEXIE MEMORIAL SCHOOL
AK,GLADYS JUNG ELEMENTARY
AK,BETHEL REGIONAL HIGH SCHOOL
AK,CHAPUTNGUAK SCHOOL
AK,CHIEF PAUL MEMORIAL SCHOOL
AK,AYAGINA'AR ELITNAURVIK
AK,KWIGILLINGOK SCHOOL
AK,NELSON ISLAND AREA SCHOOL
AK,ANNA TOBELUK MEMORIAL SCHOOL
AK,ARVIQ SCHOOL
AK,BETHEL ALTERNATIVE BOARDING SCHOOL
AK,AYAPRUN ELITNAURVIK
AK,PAUL T. ALBERT MEMORIAL SCHOOL
AK,AKULA ELITNAURVIK SCHOOL
AK,EEK SCHOOL
AK,LEWIS ANGAPAK MEMORIAL SCHOOL
AK,NUNIWARMIUT SCHOOL
AK,WILLIAM MILLER MEMORIAL SCHOOL
AK,MIKELNGUUT ELITNAURVIAT
AK,KET'ACIK/AAPALLUK MEMORIAL SCHOOL
AK,Z. JOHN WILLIAMS MEMORIAL SCHOOL
AK,AYAPRUN SCHOOL
AK,KUINERRARMIUT ELITNAURVIAT
AK,NIGHTMUTE SCHOOL
AK,QUGCUUN MEMORIAL SCHOOL
AK,ROCKY MOUNTAIN SCHOOL
AK,AKIUK MEMORIAL SCHOOL
AK,BETHEL YOUTH FACILITY
AK,ALAKANUK SCHOOL
AK,EMMONAK SCHOOL
AK,MARSHALL SCHOOL
AK,HOOPER BAY SCHOOL
AK,IGNATIUS BEANS SCHOOL
AK,PITKAS POINT SCHOOL
AK,RUSSIAN MISSION SCHOOL
AK,PILOT STATION SCHOOL
AK,KOTLIK SCHOOL
AK,SCAMMON BAY SCHOOL
AK,SHELDON POINT SCHOOL
AK,AKIACHAK SCHOOL
AK,TULUKSAK SCHOOL
AK,AKIAK SCHOOL
AK,CHEVAK SCHOOL
AK,MT. EDGECUMBE HIGH SCHOOL
AK,YAKOV E. NETSVETOV SCHOOL
AK,ADAK SCHOOL
AK,GAMBELL SCHOOL
AK,KOYUK-MALEMUTE SCHOOL
AK,HOGARTH KINGEEKUK SR. MEMORIAL SCHOOL
AK,SHISHMAREF SCHOOL
AK,JAMES C. ISABELL SCHOOL
AK,UNALAKLEET SCHOOL
AK,WALES SCHOOL
AK,WHITE MOUNTAIN SCHOOL
AK,ANIGUIIN SCHOOL
AK,MARTIN L. OLSON SCHOOL
AK,BREVIG MISSION SCHOOL
AK,SHAKTOOLIK SCHOOL
AK,ANTHONY A. ANDREWS SCHOOL
