STATE,STATEFP,LEA,SDNAME,TYPE,,
AL,1,1,Fort Rucker School District,Unified,,
AL,1,3,Maxwell AFB School District,Unified,,
AL,1,5,Albertville City School District,Unified,,
AL,1,6,Marshall County School District,Unified,,
AL,1,7,Hoover City School District,Unified,,
AL,1,8,Madison City School District,Unified,,
AL,1,11,Leeds City School District,Unified,,
AL,1,12,Boaz City School District,Unified,,
AL,1,13,Trussville City School District,Unified,,
AL,1,30,Alexander City City School District,Unified,,
AL,1,60,Andalusia City School District,Unified,,
AL,1,90,Anniston City School District,Unified,,
AL,1,100,Arab City School District,Unified,,
AL,1,120,Athens City School District,Unified,,
AL,1,180,Attalla City School District,Unified,,
AL,1,185,Saraland City School District,Unified,,
AL,1,210,Auburn City School District,Unified,,
AL,1,240,Autauga County School District,Unified,,
AL,1,270,Baldwin County School District,Unified,,
AL,1,300,Barbour County School District,Unified,,
AL,1,330,Bessemer City School District,Unified,,
AL,1,360,Bibb County School District,Unified,,
AL,1,390,Birmingham City School District,Unified,,
AL,1,420,Blount County School District,Unified,,
AL,1,450,Brewton City School District,Unified,,
AL,1,480,Bullock County School District,Unified,,
AL,1,510,Butler County School District,Unified,,
AL,1,540,Calhoun County School District,Unified,,
AL,1,600,Chambers County School District,Unified,,
AL,1,630,Cherokee County School District,Unified,,
AL,1,660,Chilton County School District,Unified,,
AL,1,690,Choctaw County School District,Unified,,
AL,1,720,Clarke County School District,Unified,,
AL,1,750,Clay County School District,Unified,,
AL,1,780,Cleburne County School District,Unified,,
AL,1,810,Coffee County School District,Unified,,
AL,1,840,Colbert County School District,Unified,,
AL,1,870,Conecuh County School District,Unified,,
AL,1,900,Coosa County School District,Unified,,
AL,1,930,Covington County School District,Unified,,
AL,1,960,Crenshaw County School District,Unified,,
AL,1,990,Cullman City School District,Unified,,
AL,1,1020,Cullman County School District,Unified,,
AL,1,1050,Dale County School District,Unified,,
AL,1,1080,Daleville City School District,Unified,,
AL,1,1110,Dallas County School District,Unified,,
AL,1,1140,DeKalb County School District,Unified,,
AL,1,1170,Decatur City School District,Unified,,
AL,1,1200,Demopolis City School District,Unified,,
AL,1,1230,Dothan City School District,Unified,,
AL,1,1260,Elba City School District,Unified,,
AL,1,1290,Elmore County School District,Unified,,
AL,1,1320,Enterprise City School District,Unified,,
AL,1,1350,Escambia County School District,Unified,,
AL,1,1380,Etowah County School District,Unified,,
AL,1,1410,Eufaula City School District,Unified,,
AL,1,1440,Fairfield City School District,Unified,,
AL,1,1470,Fayette County School District,Unified,,
AL,1,1530,Florence City School District,Unified,,
AL,1,1560,Fort Payne City School District,Unified,,
AL,1,1590,Franklin County School District,Unified,,
AL,1,1620,Gadsden City School District,Unified,,
AL,1,1640,Geneva City School District,Unified,,
AL,1,1660,Geneva County School District,Unified,,
AL,1,1680,Greene County School District,Unified,,
AL,1,1690,Guntersville City School District,Unified,,
AL,1,1710,Hale County School District,Unified,,
AL,1,1720,Haleyville City School District,Unified,,
