NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05
010000200277,0100002,ALABAMA YOUTH SERVICES,SEQUOYAH SCHOOL - CHALKVILLE CAMPUS,PINSON,AL,33.674697,-86.627775,3,41,1
010000201402,0100002,ALABAMA YOUTH SERVICES,EUFAULA SCHOOL - EUFAULA CAMPUS,CLAYTON,AL,31.882350,-85.256640,7,42,1
010000201667,0100002,ALABAMA YOUTH SERVICES,CAMPS,MT MEIGS,AL,32.375400,-86.097900,4,41,1
010000201670,0100002,ALABAMA YOUTH SERVICES,DETENTION CENTER,MT MEIGS,AL,32.375400,-86.097900,4,41,1
010000201705,0100002,ALABAMA YOUTH SERVICES,WALLACE SCHOOL - MOUNT MEIGS CAMPUS,MOUNT MEIGS,AL,32.368920,-86.081190,8,41,1
010000201706,0100002,ALABAMA YOUTH SERVICES,MCNEEL SCHOOL - VACCA CAMPUS,BIRMINGHAM,AL,33.582240,-86.710580,1,12,1
010000500870,0100005,ALBERTVILLE CITY,ALABAMA AVENUE MIDDLE SCHOOL,ALBERTVILLE,AL,34.259990,-86.207600,6,31,1
010000500871,0100005,ALBERTVILLE CITY,ALBERTVILLE HIGH SCHOOL,ALBERTVILLE,AL,34.263250,-86.205990,6,31,1
010000500879,0100005,ALBERTVILLE CITY,EVANS ELEMENTARY SCHOOL,ALBERTVILLE,AL,34.272850,-86.219970,6,31,1
010000500889,0100005,ALBERTVILLE CITY,ALBERTVILLE ELEMENTARY SCHOOL,ALBERTVILLE,AL,34.257530,-86.218590,6,31,1
010000501616,0100005,ALBERTVILLE CITY,BIG SPRING LAKE KINDERGARTEN SCHOOL,ALBERTVILLE,AL,34.290220,-86.192490,6,31,1
010000600193,0100006,MARSHALL COUNTY,KATE DUNCAN SMITH DAR MIDDLE,GRANT,AL,34.534520,-86.252580,7,42,1
010000600872,0100006,MARSHALL COUNTY,ASBURY SCHOOL,ALBERTVILLE,AL,34.362770,-86.142240,7,42,1
010000600876,0100006,MARSHALL COUNTY,CLAYSVILLE JUNIOR HIGH SCHOOL,GUNTERSVILLE,AL,34.407410,-86.270820,7,42,1
010000600877,0100006,MARSHALL COUNTY,DOUGLAS ELEMENTARY SCHOOL,DOUGLAS,AL,34.175940,-86.321050,7,42,1
010000600878,0100006,MARSHALL COUNTY,DOUGLAS HIGH SCHOOL,DOUGLAS,AL,34.176860,-86.320300,7,42,1
010000600880,0100006,MARSHALL COUNTY,GRASSY ELEMENTARY SCHOOL,ARAB,AL,34.344520,-86.441630,7,41,1
