NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05
200000100523,2000001,SOUTHEAST OF SALINE,SOUTHEAST SALINE HIGH,GYPSUM,KS,38.710930,-97.508380,7,42,1
200000100524,2000001,SOUTHEAST OF SALINE,SOUTHEAST SALINE ELEM,GYPSUM,KS,38.658700,-97.405600,7,43,1
200000200907,2000002,SMOKY VALLEY,SODERSTROM ELEM,LINDSBORG,KS,38.575410,-97.677920,6,33,1
200000200909,2000002,SMOKY VALLEY,MARQUETTE ELEM,MARQUETTE,KS,38.555600,-97.832620,7,43,1
200000201467,2000002,SMOKY VALLEY,LINDSBORG MIDDLE SCHOOL,LINDSBORG,KS,38.579500,-97.683930,6,33,1
200000201649,2000002,SMOKY VALLEY,SMOKY VALLEY HIGH,LINDSBORG,KS,38.576950,-97.680670,6,33,1
200000201809,2000002,SMOKY VALLEY,SMOKY VALLEY CHARTER SCHOOL,LINDSBORG,KS,48.167100,-96.460200,6,43,3
200000300583,2000003,WAMEGO,WAMEGO MIDDLE SCHOOL,WAMEGO,KS,39.222140,-96.315360,6,41,1
200000300585,2000003,WAMEGO,WAMEGO HIGH,WAMEGO,KS,39.206060,-96.304980,6,33,1
200000301607,2000003,WAMEGO,CENTRAL ELEM,WAMEGO,KS,39.204740,-96.307520,6,33,1
200000301608,2000003,WAMEGO,WEST ELEM,WAMEGO,KS,39.202860,-96.320660,6,33,1
200000400597,2000004,ROCK CREEK,ST GEORGE ELEM,ST GEORGE,KS,39.192450,-96.421450,7,42,1
200000400599,2000004,ROCK CREEK,WESTMORELAND ELEM,WESTMORELAND,KS,39.391760,-96.412120,7,43,1
200000401708,2000004,ROCK CREEK,ROCK CREEK JR/SR HIGH SCHOOL,ST GEORGE,KS,39.300800,-96.440510,7,42,1
200000501081,2000005,SABETHA,SABETHA ELEM,SABETHA,KS,39.899900,-95.791520,7,43,1
200000501082,2000005,SABETHA,SABETHA MIDDLE SCHOOL,SABETHA,KS,39.897030,-95.789680,7,43,1
200000501083,2000005,SABETHA,SABETHA HIGH,SABETHA,KS,39.895060,-95.788390,7,43,1
200000501084,2000005,SABETHA,WETMORE ELEM,WETMORE,KS,39.636660,-95.809140,7,43,1
200000501085,2000005,SABETHA,WETMORE HIGH,WETMORE,KS,39.636660,-95.809140,7,43,1
200000600975,2000006,HIAWATHA,HIAWATHA ELEM,HIAWATHA,KS,39.856190,-95.514830,6,41,1
200000600976,2000006,HIAWATHA,HIAWATHA SR HIGH,HIAWATHA,KS,39.851310,-95.524670,6,41,1
200000601728,2000006,HIAWATHA,HIAWATHA MIDDLE SCHOOL,HIAWATHA,KS,39.850570,-95.524810,7,41,1
200000700155,2000007,SMITH CENTER,SMITH CENTER ELEM,SMITH CENTER,KS,39.776620,-98.781080,7,43,1
200000700156,2000007,SMITH CENTER,SMITH CENTER JR SR HIGH,SMITH CENTER,KS,39.780460,-98.775660,7,43,1
200000801745,2000008,LAWRENCE GARDNER HIGH SCHOOL,LAWRENCE GARDNER HIGH SCHOOL,TOPEKA,KS,39.094941,-95.685658,2,12,8
200000901746,2000009,NORTH BELOIT HIGH,NORTH BELOIT HIGH,BELOIT,KS,39.474897,-98.108557,6,33,8
