NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05
390000104681,3900001,OHIO SCHOOL FOR THE DEAF,OHIO SCHOOL FOR THE DEAF,COLUMBUS,OH,40.062050,-83.006420,1,11,1
390000104682,3900001,OHIO SCHOOL FOR THE DEAF,OHIO SCHOOL FOR THE DEAF,COLUMBUS,OH,40.062050,-83.006420,1,11,1
390000104683,3900001,OHIO SCHOOL FOR THE DEAF,OHIO SCHOOL FOR THE DEAF,COLUMBUS,OH,40.062050,-83.006420,1,11,1
390000204684,3900002,OHIO STATE SCHOOL FOR THE BLIN,STATE SCHOOL FOR THE BLIND,COLUMBUS,OH,40.068610,-83.009700,1,11,1
390000204685,3900002,OHIO STATE SCHOOL FOR THE BLIN,STATE SCHOOL FOR THE BLIND,COLUMBUS,OH,40.068610,-83.009700,1,11,1
390001601503,3900016,OAK TREE MONTESSORI,OAK TREE MONTESSORI,CINCINNATI,OH,39.106990,-84.513940,1,11,1
390001701509,3900017,YOUNGSTOWN COMMUNITY SCHOOL,YOUNGSTOWN COMMUNITY SCHOOL,YOUNGSTOWN,OH,41.090450,-80.658400,2,13,1
390001801513,3900018,EAGLE HEIGHTS ACADEMY,EAGLE HEIGHTS ACADEMY,YOUNGSTOWN,OH,41.081910,-80.656820,2,13,1
390001901514,3900019,OLD BROOKLYN MONTESSORI SCHOOL,OLD BROOKLYN MONTESSORI SCHOOL,CLEVELAND,OH,41.433780,-81.707090,1,11,1
390002001515,3900020,HARMONY COMMUNITY SCHOOL,HARMONY COMMUNITY SCHOOL,CINCINNATI,OH,39.201700,-84.463090,1,11,1
390002201520,3900022,M.O.D.E.L. COMMUNITY SCHOOL,M.O.D.E.L. COMMUNITY SCHOOL,MAUMEE,OH,41.587940,-83.675580,3,41,1
390002301525,3900023,AURORA ACADEMY,AURORA ACADEMY,TOLEDO,OH,41.640410,-83.527190,1,11,1
390002401529,3900024,MEADOWS CHOICE COMMUNITY,MEADOWS CHOICE COMMUNITY,TOLEDO,OH,41.630370,-83.588420,1,11,1
390002501543,3900025,HOPE ACADEMY CHAPELSIDE CAMPUS,HOPE ACADEMY CHAPELSIDE CAMPUS,CLEVELAND,OH,41.454050,-81.589300,1,11,1
390002601562,3900026,HOPE ACADEMY CATHEDRAL CAMPUS,HOPE ACADEMY CATHEDRAL CAMPUS,CLEVELAND,OH,41.478340,-81.611370,1,11,1
390002701572,3900027,HOPE ACADEMY UNIVERSITY,HOPE ACADEMY UNIVERSITY,AKRON,OH,41.078820,-81.517500,2,12,1
390002801573,3900028,HOPE ACADEMY BROWN ST CAMPUS,HOPE ACADEMY BROWN ST CAMPUS,AKRON,OH,41.053310,-81.510790,2,12,1
390002901578,3900029,CITY DAY COMMUNITY SCHOOL,CITY DAY COMMUNITY SCHOOL,DAYTON,OH,39.755220,-84.190490,2,12,1
390003102807,3900031,CINCINNATI COLLEGE PREPARATORY ACADEMY,CINCINNATI COLLEGE PREPARATORY ACADEMY,CINCINNATI,OH,39.110600,-84.527800,1,11,1
390003202833,3900032,CITIZENS ACADEMY,CITIZENS ACADEMY,CLEVELAND,OH,41.509950,-81.618510,1,11,1
390003302834,3900033,"EDGE ACADEMY, THE","EDGE ACADEMY, THE",AKRON,OH,41.083850,-81.506350,2,12,1
390003502837,3900035,IDA B WELLS COMMUNITY ACADEMY,IDA B WELLS COMMUNITY ACADEMY,AKRON,OH,41.077970,-81.565540,2,12,1
390003602838,3900036,MILLENNIUM COMMUNITY,MILLENNIUM COMMUNITY,COLUMBUS,OH,39.936820,-82.888620,1,11,1
390003802844,3900038,SUMMIT ACADEMY OF ALT LEARNERS,SUMMIT ACADEMY OF ALT LEARNERS,AKRON,OH,41.073640,-81.492180,2,12,1
